Thomas Kraft (Fußballspieler),托馬斯·克拉夫特
Jörg Woithe,约尔格·沃伊特
Max von Schillings,马克斯·冯·席林斯
August Lütke-Westhues,奥古斯特·吕特克-韦斯特许斯
René Wolff,勒内·沃尔夫
Maximilian Riedmüller,馬克西米利安·里德穆勒
Christian Zeitz,克里斯蒂安·蔡茨
Maik Franz,迈克·弗兰茨
Friedrich II. (Hessen-Homburg),腓特烈二世·(黑森-洪堡)
Dietmar Danner,迪特马尔·丹纳
Ralf Falkenmayer,拉尔夫·法尔肯迈尔
Peter Nogly,彼得·诺格利
Rüdiger Abramczik,吕迪格·阿布拉姆奇克
Heinrich Kwiatkowski,海因茨·克维亚特科夫斯基
Erich Rademacher,埃里克·拉德马赫
Ulrich Wehling,乌尔里希·韦林
Uwe-Jens Mey,乌韦-延斯·梅伊
Peter Thiel,彼得·泰爾
Bernard Comrie,伯纳德·科姆里
Erich Natusch,埃里克·纳图施
Siegfried Wentz,西格弗里德·文茨
Jörg Albertz (Fußballspieler),约尔格·阿尔贝茨
"Martin Wagner (Fußballspieler, 1968)",马丁·瓦格纳
Arnold Bode,阿諾德·博德
Otto I. (Braunschweig),奧托一世·(布倫瑞克)
Xaver Scharwenka,克萨韦尔·沙尔文卡
Thomas Munkelt,托马斯·蒙克尔特
Martin Max,马丁·马克斯
Stephan Fürstner,斯蒂芬·菲爾斯特納
Frank Schaffer,弗兰克·沙费尔
Florian Kehrmann,弗洛里安·克尔曼
Gustav Schuft,古斯塔夫·舒夫特
Fabian Thylmann,費邊·泰曼
Ernst August II. von Hannover,恩斯特·奧古斯都·(約克和奧爾巴尼公爵)
Richard Wetz,理查德·韦茨
Wolfgang Hanisch,沃尔夫冈·哈尼施
Bernd Barleben,贝恩德·巴莱本
Thorben Marx,托本·馬克斯
Otto I. (Schwaben),奧托一世·(巴伐利亞)
Axel Wegner,阿克塞尔·韦格纳
Florian Dick,弗洛里安·迪克
Moritz Volz,莫里茨·福尔茨
Bastian Reinhardt,巴斯蒂安·赖因哈特
Bernard Dietz,贝尔纳德·迪茨
Albert Forster,艾伯特·福斯特
Aytaç Sulu,艾塔奇·苏卢
Hakan Çalhanoğlu,哈坎·恰尔汗奥卢
Georg Kolbe,格奧爾格·科爾貝
Gunnar Sauer,贡纳尔·绍尔
Sigmund Haringer,西格蒙德·哈林格
Christopher Zeller,克里斯托弗·策勒
Barbara Mittler,梅嘉樂
Ernst (Sachsen-Hildburghausen),恩斯特·(薩克森-希爾德布格豪森公爵)
Christian I. (Pfalz-Birkenfeld-Bischweiler),克里斯蒂安一世·(普法爾茨-比肯費爾德-比什維萊爾)
Hans Dorfner,汉斯·多夫纳
Magnus II. (Braunschweig-Lüneburg),馬格努斯二世·(布倫瑞克-呂訥堡)
Wolfgang Paul (Fußballspieler),沃尔夫冈·保罗·(足球运动员)
Norbert Eder,诺贝特·埃德
Johann I. (Pfalz-Zweibrücken),約翰一世·(普法爾茨-茨魏布呂肯)
Jörg Böhme,约尔格·伯梅
Wolfgang Dremmler,沃尔夫冈·德雷姆勒
Leo Borchard,里奧·波查德
Fritz Herkenrath,弗里茨·赫肯拉特
Peter Dietrich (Fußballspieler),彼得·迪特里希
Manfred Manglitz,曼弗雷德·曼格利茨
Holger Hieronymus,霍尔格·希罗尼穆斯
Gerd Zewe,格尔德·策韦
Faton Toski,法頓·托斯基
Augustin Hirschvogel,奥古斯丁·希尔施富格尔
Pascal Hens,帕斯卡尔·亨斯
Benjamin Barg,本亚明·巴尔克
Karla Roffeis,卡拉·罗法伊斯
Anke Westendorf,安克·韦斯滕多夫
Franz Keller (Skisportler),弗朗茨·凯勒
Friedrich I. (Hessen-Homburg),腓特烈一世·(黑森-洪堡)
Tobias Werner,托比亚斯·维尔纳
Johann Friedrich (Brandenburg-Ansbach),約翰·腓特烈·(布蘭登堡-安斯巴赫)
Klaus-Dieter Neubert,克劳斯-迪特尔·诺伊贝特
Lars Wichert,拉斯·维歇特
Vitus Eicher,維圖斯·埃歇
Alexander Rödiger,亚历山大·勒迪格
Christopher Grotheer,克里斯托弗·格罗特赫尔
Heinrich I. (Braunschweig),海因里希一世·(布倫瑞克)
Michael Haaß,米夏埃尔·哈斯
Gerd Weber,格尔德·韦伯
Tayfun Korkut,塔伊丰·科尔库特
Arthur Alexander Kaspar von Rex,雷克司
Beate Deininger,贝娅特·戴宁格尔
Heinz Hornig,海因茨·霍尔尼希
Bernd Patzke,贝恩德·帕茨克
Luise von Sachsen-Altenburg,路易絲·夏洛特·(薩克森-阿爾滕堡)
Horst Wolter,霍斯特·沃尔特
Werner Krämer (Fußballspieler),维尔纳·克雷默
Konrad Frey (Turner),康拉德·弗赖
Mark Kirchner (Biathlet),马克·基希纳
Willi Baumeister,维利·鲍迈斯特
Tilo Wolff,提洛·沃夫
Marco Russ,馬爾科·魯斯
Rüdiger Helm,吕迪格·黑尔姆
Richard Herrmann (Fußballspieler),里夏德·赫尔曼
Fritz Laband,弗里茨·拉班德
August Werner (Fußballspieler),奥古斯特·维尔纳
Bastian Seibt,巴斯蒂安·赛布特
Tannhäuser (Dichter),唐怀瑟
Lars Stindl,拉尔斯·施廷德尔
Albrecht II. (Bayern),阿爾布雷希特二世·(巴伐利亞)
Christoph Thomas Scheffler,克里斯托夫·托马斯·舍夫勒
Johann Riederer,约翰·里德雷尔
John Anthony Brooks,約翰·布魯克斯
Remig Stumpf,雷米希·施通普夫
Egon Drews,埃贡·德鲁兹
Moritz Hartmann (Fußballspieler),摩列斯·赫特文
Daniel Adlung,丹尼爾·阿德隆
Friedrich (Waldeck-Pyrmont),弗里德里希·(瓦尔德克和皮尔蒙特)
Hans-Jürgen Kreische,汉斯-于尔根·克赖舍
Karl Christian (Nassau-Weilburg),卡爾·克里斯蒂安
Lorenz Nieberl,洛伦茨·尼贝尔
Daniel Böhm,丹尼尔·伯姆
Bernd Jakubowski,贝恩德·雅库博夫斯基
Florian Riedel,弗洛里安·里德爾
Timo Horn,蒂莫·霍恩
Sascha Benecken,萨沙·贝内肯
Timo Wess,蒂莫·韦斯
Nils Quaschner,尼爾斯·夸施納
Arthur Ewert,阿图尔·埃韦特
Rico Freimuth,里科·弗莱穆特
Beatrix Schröer,贝娅特丽克丝·施勒埃尔
Heinrich XXXV. (Schwarzburg-Sondershausen),亨利三十五世·(施瓦茨堡-松德斯豪森)
Benedikt Doll,贝内迪克特·多尔
Hugo Dollheiser,胡戈·多尔海泽
Peter Röhle,彼得·勒勒
Roland Freund,罗兰·弗罗因德
Werner Rosenbaum,维尔纳·罗森鲍姆
Walther Katzenstein,瓦尔特·卡岑施泰因
Mergim Mavraj,梅吉姆·馬夫拉伊
Joachim Pirsch,约阿希姆·皮尔施
Ulrich Klaes,乌尔里希·克莱斯
Werner Kaessmann,维尔纳·克斯曼
Harald Gimpel,哈拉尔德·金佩尔
Willy Düskow,维利·迪斯科夫
Hans Theilig,汉斯·泰利希
Bolko II. (Schweidnitz),波爾科二世·(希維德尼察)
Daniel Brosinski,丹尼爾·布羅辛斯基
Michael Knauth (Hockeyspieler),米夏埃尔·克瑙特
Martin Stahnke,马丁·施坦克
Markus Zimmermann,马库斯·齐默尔曼
Stefan Ortega Moreno,斯特凡·奥尔特加
Walter Dießner,瓦尔特·迪斯纳
Michael Nikolay,米夏埃尔·尼古拉
Berti Vogts,贝尔蒂·福格茨
Reinhold Kauder,赖因霍尔德·考德
Ullrich Dießner,乌尔里希·迪斯纳
Sven Meinhardt,斯文·迈因哈特
Klaus Michler,克劳斯·米希勒
Hanns Kilian (Bobfahrer),汉斯·基利安
Philip Hindes,菲利普·海因兹
Rudolf Raftl,鲁道夫·拉夫特尔
Wilhelm Baues,威廉·鲍埃斯
Hans-Johann Färber,汉斯-约翰·费贝尔
Erich Koschik,埃里克·科席克
Thomas Becker (Kanute),托马斯·贝克尔
Hans-Otto Schumacher,汉斯-奥托·舒马赫
"Marc Weber (Ruderer, 1972)",马克·韦伯·(赛艇运动员)
Bernd Brügge,贝恩德·布吕格
Oscar Goßler,奥斯卡·戈斯勒
Wolfgang Ehrl,沃尔夫冈·埃尔
Eduard Sperling (Ringer),爱德华·施佩林
Edisson Jordanov,愛迪森·佐丹諾夫
"Jonas Hofmann (Fußballspieler, 1992)",约纳斯·霍夫曼
Rudolf Noack,鲁道夫·诺亚克
Willibald Kreß,维利巴尔德·克雷斯
Fritz Szepan,弗里茨·谢潘
"Hans Jakob (Fußballspieler, 1908)",汉斯·雅各布
Karl Hohmann,卡尔·霍曼
Josef Stroh,约瑟夫·施特罗
Markus Lüpertz,马库斯·吕佩茨
Werner Loeckle,维尔纳·勒克勒
Gerd Völs,格尔德·弗尔斯
Rudolf Reichelt,鲁道夫·赖歇尔特
Bernhard Schulze,伯恩哈德·舒尔策
Marie Clothilde von Frankreich,法蘭西的克羅蒂爾德
Leiningen (Adelsgeschlecht),萊寧根家族
Johann Albrecht I. (Mecklenburg),約翰·阿爾布雷希特一世
Thomas Huber (Wasserballspieler),托马斯·胡贝尔
Erik Durm,埃里克·杜尔姆
Marcel Halstenberg,馬塞爾·哈爾斯登伯格
Karsten Schmeling,卡斯滕·施梅林
Ulf Hoffmann,乌尔夫·霍夫曼
Norbert Keßlau,诺贝特·凯斯劳
Thomas Greiner (Ruderer),托马斯·格赖纳
Hans-Joachim Klein (Schwimmer),汉斯-约阿希姆·克莱因
Frank Rühle,弗兰克·吕勒
Wolfgang Gunkel (Ruderer),沃尔夫冈·贡克尔
Markku Slawyk,马尔库·斯拉维克
Dieter Schubert (Ruderer),迪特尔·舒伯特
Felix Wiedwald,菲利克斯·魏德瓦爾德
Jürgen Schröder (Wasserballspieler),于尔根·施罗德·(水球运动员)
Roland Schröder (Ruderer),罗兰·施罗德
Christian Tröger,克里斯蒂安·特勒格尔
Manfred Zielonka,曼弗雷德·杰隆卡
Detlev Kittstein,德特勒夫·基特施泰因
Wolfgang Maennig,沃尔夫冈·门尼希
Stanislaus Kobierski,斯坦尼斯劳斯·科别尔斯基
Fritz Buchloh,弗里茨·布赫洛
Heiko Herrlich,海科·赫利希
Norbert Nigbur,诺贝特·尼格布尔
Bernd Baumgart,贝恩德·鲍姆加特
Dirk Theismann,迪尔克·泰斯曼
Bernd Eichwurzel,贝恩德·艾希武策尔
Bernd Dierßen,伯纳德·迪尔森
Kerem Demirbay,凱雷姆·德米爾巴伊
Sophie in Bayern (1967),索菲王储妃·(列支敦士登)
August (Sachsen-Weißenfels),奧古斯特·(薩克森-魏森費爾斯公爵)
Friedhelm Funkel,弗里德黑尔姆·丰克尔
Frank-Peter Roetsch,弗兰克-彼得·勒奇
Herbert Pankau,赫伯特·潘考
Hans Gruhne,汉斯·格鲁内
Matthias Flach (Ruderer),马蒂亚斯·弗拉赫
Jonathan Koch,约纳坦·科赫
Thies Kaspareit,蒂斯·卡斯帕赖特
Hans-Joachim Hannemann (Ruderer),汉斯-约阿希姆·汉内曼
Uwe Sauer,乌韦·绍尔
Erik Hochstein,埃里克·霍赫施泰因
Robby Gerhardt,罗比·格哈特
Carl Bohm,卡爾·博姆
Theo Kleine,特奥多尔·克莱内
Ernst Köpf senior,恩斯特·克普夫
Christian Lusch,克里斯蒂安·卢施
Claus Erhorn,克劳斯·埃霍恩
Rainer Philipp,赖纳·菲利普
Dino Toppmöller,迪诺·托普穆勒
Werner Schramm (Künstler),威纳·施拉姆
Gottfried Döhn,戈特弗里德·德恩
Matthias Wiegand,马蒂亚斯·维甘德
Harald Marg,哈拉尔德·马尔格
Marvin Ducksch,馬文·杜克施
Armando Fernández,阿曼多·费尔南德斯
Lothar Kurbjuweit,洛塔尔·库尔布尤韦特
Georg Buschner,格奥尔格·布施纳
Klaus-Dieter Seehaus,克劳斯-迪特尔·泽豪斯
Gerhard Körner,格哈德·克尔纳
Hermann Stöcker,赫尔曼·施特克
Karl-Heinz Metzner,卡尔-海因茨·梅茨纳
Erwin Kremers,埃尔文·克雷默斯
Michael Frontzeck,米夏埃尔·弗隆策克
Ronny Philp,羅尼·菲利普
Michael Marx (Radsportler),米夏埃尔·马克思
Ulrich Karnatz,乌尔里希·卡纳茨
Lutz Ulbricht,卢茨·乌布利希
Frank Klawonn (Ruderer),弗兰克·克拉旺
Detlef Hofmann,德特勒夫·霍夫曼
Wolfgang Lakenmacher,沃尔夫冈·拉肯马赫
Ludwig Maurer (Musiker),路德維希·毛雷爾
Helmut Radach,赫尔穆特·拉达赫
Jens Köppen,延斯·克彭
Kurt Runge (Ruderer),库尔特·伦格
Alfred Rieck,阿尔弗雷德·里克
Max Vetter,马克斯·费特尔
Wolfram Wuttke,沃尔弗拉姆·武特克
Franz von Liszt,法蘭茲·封·李斯特
Hartmut Wenzel,哈特穆特·文策尔
Ditmar Jakobs,迪特马尔·雅各布斯
Bernd Hollerbach,贝恩德·霍勒巴赫
Bernd Höing,贝恩德·赫英
Hans Kuschke,汉斯·库施克
Heiko Habermann,海科·哈伯曼
Bernd Jäger,贝恩德·耶格尔
Walter Schröder (Ruderer),瓦尔特·施罗德
Willi Padge,维利·帕德格
Michael Weiner,米夏埃尔·魏纳
Frank Schepke,弗兰克·舍普克
Franz Alexander (Nassau-Hadamar),法蘭茲·亞歷山大·(拿騷-哈達馬爾)
Bernd Roos,贝恩德·罗斯
Thomas Domian,托马斯·多米安
Michael Fuchs (Badminton),麦克·福克斯
Johannes Schöttler,约翰尼斯·斯科特勒
Björn Michel,比约恩·米歇尔
Karl-Heinz Bußert,卡尔-海因茨·布瑟特
Christian Mayerhöfer,克里斯蒂安·迈尔赫费尔
Werner Unger (Fußballspieler),维尔纳·翁格尔
Stefan Junge,斯特凡·容格
Jens-Peter Herold,延斯-彼得·黑罗尔德
Jörg Freimuth,约尔格·弗赖穆特
Fritz Fischer (Biathlet),弗里茨·菲舍尔
Bernd Landvoigt,贝恩德·兰德福格特
Bernd Lindner (Rudertrainer),贝恩德·林德纳
Rainer Osselmann,赖纳·奥塞尔曼
Horst Bernhardt,霍斯特·伯恩哈特
Jan Quast (Boxer),扬·夸斯特
Olaf Förster,奥拉夫·弗尔斯特
Bernd Niesecke,贝恩德·尼泽克
Konrad Weise,康拉德·魏泽
Eberhard Vogel,埃伯哈德·福格尔
Simon Schempp,西蒙·申普
Friedhelm Wentzke,弗里德黑尔姆·文茨克
Werner Obschernikat,维尔纳·奥布舍尼卡特
Bernd Krauß (Ruderer),贝恩德·克劳斯
Werner Dehn,维尔纳·德恩
Günter Perleberg,金特·佩尔勒贝格
Bodo Illgner,博多·伊尔格纳
Bernd Schünemann,許迺曼·(德國)
Klaus Langhoff,克劳斯·朗霍夫
Jürgen Hildebrandt (Handballspieler),于尔根·希尔德布兰德
Hans J. Vermeer,汉斯·弗米尔
Waldemar Grzimek,瓦尔德马·格齐梅克
Peter Kraus (Hockeyspieler),彼得·克劳斯·(曲棍球运动员)
Wolfgang Strödter,沃尔夫冈·施特勒特
Paul Cohn (Mathematiker),保羅·孔恩
Udo Röhrig,乌多·勒里希
Oliver Köhrmann,奥利弗·克尔曼
Martin Strobel,马丁·施特罗贝尔
Wilhelm Hyacinth (Nassau-Siegen),威廉·雅辛斯·(拿騷-錫根)
Eric Abetz,埃瑞克·阿貝茨
Bernd Truschinski,贝恩德·特鲁申斯基
Karl Philipp von Brandenburg-Schwedt,卡爾·菲利普·(布蘭登堡-施韋特)
Klaus Glahn,克劳斯·格拉恩
Christian Klees,克里斯蒂安·克勒斯
Steffen Bogs,斯特芬·博格斯
Rüdiger Reiche,吕迪格·赖歇
Stefan Saliger,斯特凡·扎利格
René Rensch,勒内·伦施
Hermann Stork,赫尔曼·施托克
Detlef Kirchhoff (Ruderer),德特勒夫·基希霍夫
Rudolf Eckstein,鲁道夫·埃克施泰因
Eckhard Schultz,埃克哈特·舒尔茨
Isolde Frölian,伊索尔德·弗勒利安
Karl Leopold (Mecklenburg),卡爾·利奧波德·(梅克倫堡-施威林)
Hansjörg Kunze,汉斯约尔格·孔策
Henning Radtke,赫宁·拉特克
Daniel Stendel,丹尼尔·施滕德尔
Björn Emmerling,比约恩·埃默林
Marco Geisler,马尔科·盖斯勒
Carlheinz Neumann,卡尔海因茨·诺伊曼
Detlef Kästner,德特勒夫·克斯特纳
Ernst Gaber (Ruderer),恩斯特·加贝尔
Michael Senft,米夏埃尔·森夫特
Rainer Hoppe,赖纳·霍佩
Otto Fräßdorf,奥托·弗雷斯多夫
Alfred Lücker,阿尔弗雷德·吕克尔
Alon Abelski,阿隆·阿贝尔斯基
Marcel Reuter,马克尔·罗伊特
Hannelore Zober,汉内洛蕾·措贝尔
Joachim Spremberg,约阿希姆·施普雷姆贝格
Klaus Weiß (Handballspieler),克劳斯·魏斯
Josef Schleinkofer (Boxer),约瑟夫·施莱因科费尔
Chlodwig von Hessen-Philippsthal-Barchfeld,黑森-菲利普斯塔爾-巴希費爾德伯爵克洛德維希
Richard Krebs (Leichtathlet),里夏德·克雷布斯
Harry Werner Storz,哈里·维尔纳·施托尔茨
Nenad Peruničić,内纳德·佩鲁尼契奇
Jörg Kunze (Handballspieler),约尔格·孔策
Bianca Weiß,比安卡·魏斯
Sven-Sören Christophersen,斯文-瑟伦·克里斯托弗森
Rainer Zimmermann (Handballspieler),赖纳·齐默尔曼
Peter Larisch,彼得·拉里施
Magneto (Comicfigur),萬磁王
Hans-Jürgen Wallbrecht,汉斯-于尔根·瓦尔布雷希特
Jürgen Schröder (Ruderer),于尔根·施罗德·(赛艇运动员)
Rainer Würdig,赖纳·维迪希
Josef Rose,约瑟夫·罗泽
Reiner Frieske,赖纳·弗里斯克
Horst Jankhöfer,霍斯特·扬克赫费尔
Bianka Schwede,比安卡·施韦德
Hamid Rahimi,哈米德·拉希姆
Peter Kohnke,彼得·科恩克
Walther Davisson,瓦爾特·戴維森
Harald Vollmar,哈拉尔德·福尔马尔
Marc Hornschuh,馬克·霍恩舒
Ute Steindorf,乌特·施泰因多夫
Christian Ramota,克里斯蒂安·拉莫塔
Ingeborg Rapoport,英格博格·拉波波特
Sascha Reinelt,萨沙·赖内尔特
Frank Wiegand,弗兰克·维甘德
Klaus Wagner (Reiter),克劳斯·瓦格纳
Ernst Diehl (Fußballspieler),恩斯特·迪尔
Kristof Hopp,克里斯托夫·霍普
Klaus Ackermann,克劳斯·阿克曼
Frank Forberger,弗兰克·福尔贝格尔
Barbara Czekalla,芭芭拉·切卡拉
Christine Mummhardt,克里斯蒂娜·穆姆哈特
Jürgen Hennig,于尔根·亨尼希
Michael Kraus (Schwimmer),米夏埃尔·克劳斯·(游泳运动员)
Hendrik Pekeler,亨德里克·佩克勒
Boris Pistorius,鲍里斯·皮斯托里乌斯
Kevin Akpoguma,凯文·阿克波古马
Ralf Büchner,拉尔夫·比希纳
Hermann Linkenbach,赫尔曼·林肯巴赫
Regina Weber,雷吉娜·韦伯
Joachim Dreifke,约阿希姆·德赖夫克
Birgit Süß,比吉特·聚斯
Andrea Heim,安德烈娅·海姆
Hans Huber (Boxer),汉斯·胡贝尔·(拳击运动员)
Michael Lameck,米夏埃尔·拉梅克
Themistokles von Eckenbrecher,特米斯托克萊斯·馮·埃肯布雷歇爾
David Wagner,大衛·華格納
Niko Ott,尼科·奥特
Wilhelm II. (Hessen-Wanfried-Rheinfels),威廉二世·(黑森-萬弗里德-萊因費爾斯)
Annette Schultz,安妮特·舒尔茨
Carl Philipp zu Salm-Salm,卡尔-菲利普·(萨尔姆-萨尔姆)
Birgit Hagen,比吉特·哈根
Birgit Heinecke,比吉特·海内克
Bärbel Kofler,芭貝爾·柯夫勒
Bärbel Köster,贝贝尔·克斯特
Jochen Lettmann,约亨·莱特曼
Lorenz Funk senior,洛伦茨·丰克
Karl (Hessen-Wanfried),卡爾·(黑森-萬弗里德)
Carla Nelte,卡拉·尼尔特
Timo Pielmeier,蒂莫·皮尔迈尔
Dieter Engelhardt (Fußballspieler),迪特尔·恩格尔哈特
Silvio Heinevetter,西尔维奥·海涅费特
Michael Jurack,米夏埃尔·尤拉克
Siegfried Fink,齊格弗里德·芬克
Manfred Rulffs,曼弗雷德·鲁尔夫斯
Hans-Dieter Brüchert,汉斯-迪特尔·布吕歇特
Marc Meiling,马克·迈林
Sebastian Conrad,塞巴斯蒂安·康拉德
Augusta Holtz,奥古斯塔·霍尔茨
Johann Rall,約翰·拉爾
Dieter Grahn,迪特尔·格兰
Carsten Bunk,卡斯滕·邦克
Detlef Ultsch,德特勒夫·乌尔奇
Caroline Casaretto,卡罗琳·卡萨雷托
Frank-Peter Bischof,弗兰克-彼得·比朔夫
Stefan Tewes (Hockeyspieler),斯特凡·特韦斯
Hans-Joachim Hartnick,汉斯-约阿希姆·哈特尼克
Jürgen Heuser,于尔根·霍伊泽尔
Bruno Meyermann,布鲁诺·迈尔曼
Brigitte Steden,布麗吉特·史特登
Caren Jungjohann,卡伦·容约翰
Wolfgang Barthels,沃尔夫冈·巴特尔斯·(足球运动员)
Eckhard Leue,埃克哈德·洛伊厄
Jonas Hector,约纳斯·赫克托
Daniel Theis,丹尼爾·泰斯
Manfred Walter,曼弗雷德·瓦尔特
Manfred Geisler (Fußballspieler),曼弗雷德·盖斯勒
Johannes Ringk,約翰尼斯·林克
Carsten Spohr,卡斯滕·施波尔
Sara Däbritz,萨拉·德布里茨
Johann Franz Desideratus (Nassau-Siegen),約翰·法蘭斯·戴希德拉圖斯
Heinz-Helmut Wehling,海因茨-赫尔穆特·韦林
Markus Karl,馬庫斯·卡爾
Carsten Fischer,卡斯滕·菲舍尔
Gerd Saborowski,格尔德·萨博罗夫斯基
Friedrich von Hessen-Philippsthal-Barchfeld,腓特烈·(黑森-菲利普斯塔爾-巴赫菲爾德)
Yoan Pablo Hernández,尤安·帕布罗·埃尔南德斯
Michael Krause,米夏埃尔·克劳泽
Reinhard Gust,赖因哈德·古斯特
Hella Roth,黑拉·罗特
Sven Loll,斯文·洛尔
Brigitte Ahrenholz,布丽吉特·阿伦霍尔茨
Carola Bott,卡罗拉·鲍特
Carola Dombeck,卡萝拉·东贝克
Kurt Jarasinski,库尔特·雅拉辛斯基
Thomas Fahrner,托马斯·法尔纳
Lars Kober,拉斯·科伯
Britta Unsleber,布丽塔·翁斯勒贝尔
Manfred Schmorde,曼弗雷德·施莫德
Peter Hermann (Schauspieler),彼得·赫曼
Simon Zoller,西蒙·措勒
Carsten Sieling,卡斯滕·西林
Christian Groß (Fußballspieler),克里斯蒂安·格罗斯
Liu Xia (Künstlerin),劉霞·(作家)
Christoph Kramer,克里斯托夫·克拉默
Christof Duffner,克里斯托夫·杜夫纳
Christoph Eimer,克里斯托夫·艾默
Markus Kauczinski,马库斯·考琴斯基
Carl Gröpler,卡尔·格罗普勒
Christa Köhler,克丽斯塔·克勒
Karin Püschel,卡琳·皮舍尔
Colin von Ettingshausen,科林·冯·埃廷斯豪森
Christian Scheffler (Handballspieler),克里斯蒂安·舍夫勒
Brigitte Fetzer,布丽吉特·费策尔
Chen Kuen Lee,李承寬
Christoph Letkowski,克里斯托弗·雷特科夫斯基
Clemens Tönnies,克莱门斯·滕尼斯
Otto Ammermann,奥托·阿默曼
Christian Schulte (Hockeyspieler),克里斯蒂安·舒尔特
Christoph Werner (Fußballspieler),克里斯托夫·维尔纳
Christian Bassemir,克里斯蒂安·巴塞米尔
Christian Strohdiek,克里斯蒂安·施特罗迪克
Christian Standhardinger,古列斯迪恩·舒坦德夏定亞
Martin Schmidt (Handballspieler),马丁·施密特·(手球运动员)
Wilhelm August (Sachsen-Eisenach),威廉·奧古斯特·(薩克森-艾森納赫)
Christiane Brand,克里斯蒂安娜·布兰德
Claudia Waldi,克劳迪娅·瓦尔迪
Sven Tippelt,斯文·蒂佩尔特
Herman Lamm,赫尔曼·拉姆
Maximilian Arnold,馬克西米利安·阿諾德
Christopher A. Viehbacher,魏巴赫
Christian Fromm,克里斯蒂安·弗洛姆
Christian Dissinger,克里斯蒂安·迪辛格
Christian Dingert,克里斯蒂安·丁格特
Christian Dahlke,克里斯蒂安·达尔克
Christine Langenfeld,克里斯汀·朗恩费尔德
Heidi Pechstein,海迪·佩希施泰因
Claus Rolfs,克劳斯·罗尔夫斯
Christel Steffin,克丽斯特尔·斯特芬
Christian-Georg Warlich,克里斯蒂安-格奥尔格·瓦尔利希
Dagmar Pohlmann,达格玛·波尔曼
Dagmar Bremer,达格玛·布雷默
Martina Jentsch,马丁娜·延奇
Claudia Wunderlich,克劳迪娅·文德利希
Ernst Ohlmer,阿理文
Christiane Harzendorf,克里斯蒂安娜·哈岑多夫
Bettina Schieferdecker,贝蒂娜·席费德克
Christina Rost,克里斯蒂娜·罗斯特
Christina Voß,克里斯蒂娜·福斯
Claus Jönsson,克勞斯·約恩松
Daniel Deußer,丹尼尔·多伊塞尔
Christina Moser,克里斯蒂娜·莫泽
Claudia Hempel,克劳迪娅·亨佩尔
Dana Pyritz,达娜·皮里茨
Janne Müller-Wieland,扬内·米勒-威兰
Christine Ferneck,克里斯蒂娜·费内克
Christine Francke,克里斯蒂娜·弗兰克
Christine Herbst,克里斯蒂娜·赫布斯特
Patrick Hager,帕特里克·哈格尔
Dieter M. Gräf,迪特尔·M·葛瑞夫
Cornelia Linse,科尔内利娅·林泽
Cornelia Klier,科尔内利娅·克利尔
Dimitri Colupaev,迪米特里·克魯佩夫
Dieter Wiedenmann,迪特尔·维登曼
Dieter Reiter,迪特·赖特尔
Corinna Lingnau,科琳娜·林瑙
Dietrich Zander,迪特里希·灿德尔
Dieter Meschede,迪特尔·梅舍德
Dieter Schneider (Fußballspieler),迪特尔·施奈德
Dieter Semetzky,迪特尔·泽梅茨基
Dietmar Hötger,迪特马尔·赫特格
Dirk Brinkmann,迪尔克·布林克曼
Dirk Korthals,迪尔克·科塔尔斯
Dominique Heintz,多米尼克·海因茨
Dominik Stroh-Engel,多米尼克·施特羅-恩格爾
Karl Egon V. zu Fürstenberg,卡尔·埃贡五世·(菲斯滕贝格)
Dirk Westphal,德克·威斯特費爾
Dirk Baecker,迪尔克·贝克
Gretl Braun,格蕾特·布劳恩
Michael Klemm (Handballspieler),米夏埃尔·克莱姆
Klaus Lisiewicz,克劳斯·利谢维奇
Marco Fritz,马尔科·弗里茨
Dietmar Schwarz (Ruderer),迪特马尔·施瓦茨
Dominik Marquard zu Löwenstein-Wertheim-Rochefort,多米尼克·馬爾夸·(勒文施泰因-韋爾特海姆-羅什福爾)
Kristin Gierisch,克丽斯廷·吉里施
Dominik Constantin zu Löwenstein-Wertheim-Rochefort,多米尼克·康斯坦丁·(勒文施泰因-韋爾特海姆-羅什福爾)
David Wolf (Eishockeyspieler),达维德·沃尔夫
Denis Kudla (Ringer),丹尼斯·库德拉·(摔跤运动员)
Dietrich Braess,迪特里希·布雷斯
Holger Schneider,霍尔格·施奈德
Klaus Rost (Ringer),克劳斯·罗斯特
Peter Wenzel (Gewichtheber),彼得·文策尔
Katja Windt,卡特雅·温特
Denis Cuspert,德索∙多格
Detlef Bluhm,戴特勒夫·布魯姆
Dominick Drexler,多米尼克·德雷克斯勒
Ole Rückbrodt,奥勒·吕克布罗特
Dmitri Wladimirowitsch Wrubel,德米特里·弗鲁贝尔
Tim Dettmann,蒂姆·德特曼
Herbert Eugen Esche,赫伯特·尤金·埃舍
Jones Ralfy Jansen,琼斯·拉夫利·詹森
Dörte Lindner,德尔特·林德纳
Dennis Thering,丹尼斯·泰林
Harald Heinke,哈拉尔德·海因克
Dieter Domke,迪特尔·杜马克
Georg Nagel (Biophysiker),格奥尔格·纳格尔
Domenic Weinstein,多梅尼克·魏因施泰因
Katrin Mietzner,卡特琳·克吕格尔
Alicia von Rittberg,艾麗西婭·馮·里特貝格
Stefan Kapičić,史提芬·卡皮契
Kai Häfner,凯·黑夫纳
Manuel Faißt,曼努埃尔·法伊斯特
