stefano cerioni,스테파노 체리오니,seutepano cerioni
alberto rabagliati,알베르토 라발리아티,albereuto rabalriati
adolfo urso,아돌포 우르소,adolpo ureuso
giovanni lista,조반니 리스타,jobanni riseuta
abate faria,파리아 신부,paria sinbu
marco carraretto,마르코 카라레토,mareuko karareto
lucia bosetti,루차 보세티,ruca boseti
andrea belicchi,안드레아 벨리키,andeurea belriki
alessandra bianchi,알레산드라 비앙키,alresandeura biangki
giuseppe tatarella,주세페 타타렐라,jusepe tatarelra
angelo barbagallo,안젤로 바바갈로,anjelro babagalro
giuseppe zanotti,쥬세페 자노티,jyusepe janoti
angelo ephrikian,안젤로 에프리키안,anjelro epeurikian
gianluca litteri,잔루카 리테리,janruka riteri
anna maria tarantola,안나 마리아 타란톨라,anna maria tarantolra
aldo borgonzoni,알도 보르곤초니,aldo boreugonconi
clemente mimun,클레멘테 미문,keulremente mimun
guido bertolaso,귀도 베르톨라소,gwido bereutolraso
carlo malinconico,카를로 말린코니코,kareulro malrinkoniko
aldo ermano,알도 에르마노,aldo ereumano
antonio latella,안토니오 레이텔라,antonio reitelra
renato fasano,레나토 파사노,renato pasano
aldo masullo,알도 마술로,aldo masulro
donato marra,도나토 마라,donato mara
vanessa gravina,바네사 그라비나,banesa geurabina
alvinio misciano,알비니오 미시아노,albinio misiano
adriano pappalardo,아드리아누 파파달도,adeurianu papadaldo
barbara alberti,바바라 알베르티,babara albereuti
vito ciancimino,비토 찬치미노,bito cancimino
marco minniti,마르코 민니티,mareuko minniti
italo bocchino,이탈로 보키노,italro bokino
katia bellillo,카티아 벨릴로,katia belrilro
vittoria lepanto,비토리아 레판토,bitoria repanto
amerigo fontani,아메리코 폰타니,ameriko pontani
matteo setti,마테오 세티,mateo seti
achille marazza,아킬레 마라차,akilre maraca
achille canna,아킬레 칸나,akilre kanna
achille corona,아킬레 코로나,akilre korona
ginevra bompiani,지네브라 봄피아니,jinebeura bompiani
achille gaggia,아킬레 가자,akilre gaja
alessandra facchinetti,알레산드라 파키네티,alresandeura pakineti
alessandra costanzo,알레산드라 코스탄조,alresandeura koseutanjo
achille russo,아킬레 루소,akilre ruso
jože pirjevec,요제 피리에베츠,yoje piriebeceu
achille cutrera,아킬레 쿠트레라,akilre kuteurera
achille d'aniello,아킬레 다니엘로,akilre danielro
achille rigamonti,아킬레 리가몬티,akilre rigamonti
ada natali,아다 나탈리,ada natalri
alessandra viero,알레산드라 비에로,alresandeura biero
carla accardi,카를라 아카르디,kareulra akareudi
sergio gobbi,세르지오 고비,sereujio gobi
alessandro baracchini,알레산드로 바라키니,alresandeuro barakini
carlo acutis,카를로 아쿠티스,kareulro akutiseu
andrea crosariol,안드레아 크로사리올,andeurea keurosariol
adriana libretti,아드리 아나리브레티,adeuri anaribeureti
alessandro calza,알레산드로 칼자,alresandeuro kalja
adriana russo,아드리 아나루소,adeuri anaruso
chiara francini,끼아라 프란시니,ggiara peuransini
stefano gentile,스테파노 젠틸레,seutepano jentilre
andrea molesini,안드레아 몰레시니,andeurea molresini
alessandro fabbri,알레산드로 파브리,alresandeuro pabeuri
marco brambilla,마르코 브람빌라,mareuko beurambilra
andrea purgatori,안드레아 푸르가토리,andeurea pureugatori
corrado cagli,코라도 칼리,korado kalri
corrado tumiati,코라도 투미아티,korado tumiati
andrea scanzi,안드레아 스칸치,andeurea seukanci
andrea saccaggi,안드레아 사카지,andeurea sakaji
andrea salerno,안드레아 살레르노,andeurea salrereuno
daniel riolo,다니엘 리올로,daniel riolro
cristina acidini,크리스티나 아치디니,keuriseutina acidini
armando pizzinato,아르만도 피치나토,areumando picinato
mario giro,마리오 지로,mario jiro
alessandro sallusti,알레산드로 살루스티,alresandeuro salruseuti
ermanno ioriatti,에르만노 이오리아티,ereumanno ioriati
alessandro tersigni,알레산드로 테르시니,alresandeuro tereusini
angela melillo,안젤라 멜릴로,anjelra melrilro
alessandro vocalelli,알레산드로 보칼렐리,alresandeuro bokalrelri
eleonora abbagnato,엘레오노라 아바냐토,elreonora abanyato
masolino d'amico,마솔리노 다미코,masolrino damiko
alberto cairo,알베르토 카이로,albereuto kairo
alberto bertuzzi,알베르토 베르투치,albereuto bereutuci
alfonsina pieri,알폰시나 피에리,alponsina pieri
alberto d'aguanno,알베르토 다관노,albereuto dagwanno
luana piovani,루아나 피오바니,ruana piobani
alan ruiz,알란 루이스,alran ruiseu
esmeralda calabria,에스메랄다 칼라브리아,eseumeralda kalrabeuria
erminio sipari,에르미니오 시파리,ereuminio sipari
angelo pasquini,안젤로 파스퀴니,anjelro paseukwini
angelo pezzana,안젤로 페차나,anjelro pecana
alfredo biondi,알프레도 비온디,alpeuredo biondi
orlando corradi,올랜도 코라디,olraendo koradi
alberto matano,알베르토 마타노,albereuto matano
alberto marietta,알베르토 마리에타,albereuto marieta
paolo bonaiuti,파올로 보나이우티,paolro bonaiuti
paolo guzzanti,파올로 구찬티,paolro gucanti
alberto simonini,알베르토 시모니니,albereuto simonini
alberto pirelli,알베르토 피렐리,albereuto pirelri
fulvio tessitore,풀비오 테시토레,pulbio tesitore
angelo sorino,안젤로 소리노,anjelro sorino
alberto terrani,알베르토 테라니,albereuto terani
francesca testasecca,프란체스카 테스타세카,peuranceseuka teseutaseka
nino bertasio,니노 베르타시오,nino bereutasio
anna miserocchi,안나 미세로키,anna miseroki
anna cinzia bonfrisco,안나 친치아 본프리스코,anna cincia bonpeuriseuko
alberto vianini,알베르토 비아니니,albereuto bianini
anna lina alberti,안나 리나 알베르티,anna rina albereuti
francesco giro,프란체스코 지로,peuranceseuko jiro
bruno praticò,브루노 프라티코,beuruno peuratiko
annagrazia calabria,안나그라치아 칼라브리아,annageuracia kalrabeuria
annibale bizzelli,안니발레 비첼리,annibalre bicelri
annibale brasola,안니발레 브라솔라,annibalre beurasolra
franco ferrarotti,프랑코 페라로티,peurangko peraroti
bruno villabruna,브루노 빌라브루나,beuruno bilrabeuruna
fulvio roiter,풀비오 로이테르,pulbio roitereu
arsenio frugoni,아르세니오 푸르고니,areusenio pureugoni
salvatore argento,살바토레 아르젠토,salbatore areujento
rosanna carteri,로산나 카르테리,rosanna kareuteri
galileo chini,갈릴레오 키니,galrilreo kini
filippo boniperti,필리포 보니페르티,pilripo bonipereuti
antonella casu,안토넬라 카수,antonelra kasu
gabriele basilico,가브리엘레 바실리코,gabeurielre basilriko
camilla diana,카밀라 다이애나,kamilra daiaena
camillo ripamonti,카밀로 리파몬티,kamilro ripamonti
candida morvillo,칸디다 모르빌로,kandida moreubilro
cesare mirabelli,체사레 미라벨리,cesare mirabelri
cesare pisoni,체사레 피소니,cesare pisoni
gianni romoli,지아니 로밀리,jiani romilri
gianluigi braschi,잔루이지 브라스키,janruiji beuraseuki
antonello morroni,안토넬로 모로니,antonelro moroni
checco zalone,케코 찰로네,keko calrone
gilberto benetton,길베르토 베네톤,gilbereuto beneton
cesare veneziani,체사레 베네치아니,cesare beneciani
cesare vivaldi,체사레 비발디,cesare bibaldi
cesare viviani,체사레 비비아니,cesare bibiani
cesare volpato,체사레 볼파토,cesare bolpato
attilio bolzoni,아틸리오 볼조니,atilrio boljoni
carlo anti,카를로 안티,kareulro anti
chiara frugoni,키아라 프루고니,kiara peurugoni
augusto cavadi,아우구스토 카바디,auguseuto kabadi
attilio pratella,아틸리오 프라텔라,atilrio peuratelra
carlo arnaudi,카를로 아르나우디,kareulro areunaudi
giovanni becatti,조반니 베카티,jobanni bekati
cinico angelini,치니코 안젤리니,ciniko anjelrini
christiane filangieri,크리스티안 필리건에리,keuriseutian pilrigeoneri
antonio campo dall'orto,안토니오 캄포 달오르토,antonio kampo daloreuto
carlo dell'aringa,카를로 델라린가,kareulro delraringa
antonio cifariello,안토니오 치파리엘로,antonio ciparielro
aurora ruffino,아우로라 루피노,aurora rupino
barbara mussio,바르바라 무시오,bareubara musio
claudia zanella,클라우디아 자넬라,keulraudia janelra
barbara palombelli,바르바라 팔롬벨리,bareubara palrombelri
beatrice lorenzin,베아트리체 로렌친,beateurice rorencin
antonio maccanico,안토니오 마카니코,antonio makaniko
claudio cupellini,클라우디오 쿠펠리니,keulraudio kupelrini
claudio ermelli,클라우디오 에르멜리,keulraudio ereumelri
benedetto casillo,베네데토 카실로,benedeto kasilro
daria bignardi,다리아 비냐르디,daria binyareudi
claudio gioè,클라우디오 조에,keulraudio joe
bella starace sainati,벨라 스타라체 사이나티,belra seutarace sainati
benedetta mazzini,베네데타 마치니,benedeta macini
dario buzzolan,다리오 부조란,dario bujoran
dario cantarelli,다리오 칸타렐리,dario kantarelri
dario antoniozzi,다리오 안토니오치,dario antonioci
dario ballantini,다리오 발란티니,dario balrantini
dario bandiera,다리오 반데라,dario bandera
claudio moneta,클라우디오 모네타,keulraudio moneta
claudio rinaldi,클라우디오 리날디,keulraudio rinaldi
claudio pasqualin,클라우디오 파스콸린,keulraudio paseukwalrin
beppe convertini,베페 콘베르티니,bepe konbereutini
carlo pelanda,카를로 펠란다,kareulro pelranda
claudio zuliani,클라우디오 출리아니,keulraudio culriani
david parenzo,다비드 파렌초,dabideu parenco
umberto merlin,움베르토 메를린,umbereuto mereulrin
clemente rebora,클레멘테 레보라,keulremente rebora
carlo sbordone,카를로 스보르도네,kareulro seuboreudone
bernardo mattarella,베르나르도 마타렐라,bereunareudo matarelra
davide devenuto,다비데 데베누토,dabide debenuto
davide iacopini,다비데 이아코피니,dabide iakopini
colapesce,콜라페셰,kolrapesye
carlo verdelli,카를로 베르델리,kareulro bereudelri
davide rondoni,다비데 론도니,dabide rondoni
bianca pitzorno,비안카 피초르노,bianka picoreuno
antonio santori,안토니오 산토리,antonio santori
cloe elmo,클로에 엘모,keulroe elmo
bice biagi,비체 비아지,bice biaji
carlo virzì,카를로 비르치,kareulro bireuci
corrado michelozzi,코라도 미켈로치,korado mikelroci
bindo maserati,빈도 마세라티,bindo maserati
dea garbaccio,데아 가르바초,dea gareubaco
debora serracchiani,데보라 세라키아니,debora serakiani
bice valori,비체 발로리,bice balrori
corrado racca,코라도 라카,korado raka
cosetta greco,코세타 그레코,koseta geureko
cosima coppola,코시마 코폴라,kosima kopolra
brigitta boccoli,브리지타 보콜리,beurijita bokolri
carmen scivittaro,카르멘 시비타로,kareumen sibitaro
armando angelini,아르만도 안젤리니,areumando anjelrini
costanza caracciolo,코스탄자 카라치올로,koseutanja karaciolro
armando falconi,아르만도 팔코니,areumando palkoni
dimartino,디마르티노,dimareutino
bruno carotenuto,브루노 카로테누토,beuruno karotenuto
cristina grado,크리스티나 그라도,keuriseutina geurado
bruno campanella,브루노 캄파넬라,beuruno kampanelra
cesara buonamici,체사라 부오나미치,cesara buonamici
dino sarti,디노 사르티,dino sareuti
dalmazio masini,달마치오 마시니,dalmacio masini
bruno contrada,브루노 콘트라다,beuruno konteurada
dino ziglio,디노 칠리오,dino cilrio
dria paola,드리아 파올라,deuria paolra
dora calindri,도라 칼린드리,dora kalrindeuri
daniela conti,다니엘라 콘티,danielra konti
divino otelma,디비노 오텔마,dibino otelma
enrico crispolti,엔리코 크리스폴티,enriko keuriseupolti
dušan jelinčič,두샨 옐린치치,dusyan yelrincici
bruno mellano,브루노 멜라노,beuruno melrano
daniela goggi,다니엘라 고지,danielra goji
enrico deaglio,엔리코 데알리오,enriko dealrio
edmondo cirielli,에드몬도 치리엘리,edeumondo cirielri
enrico gasbarra,엔리코 가스바라,enriko gaseubara
fabio gallia,파비오 갈리아,pabio galria
flora carabella,플로라 카라벨라,peulrora karabelra
fabio massimo cacciatori,파비오 마시모 카치아토리,pabio masimo kaciatori
edoardo stoppa,에도아르도 스토파,edoareudo seutopa
enrico magenes,엔리코 마제네스,enriko majeneseu
enrico mentana,엔리코 멘타나,enriko mentana
enrico mutti,엔리코 무티,enriko muti
fabio morrone,파비오 모로네,pabio morone
franca tamantini,프란카 타만티니,peuranka tamantini
fabio ravezzani,파비오 라베차니,pabio rabecani
francesca chillemi,프란체스카 킬레미,peuranceseuka kilremi
egidio sterpa,에지디오 스테르파,ejidio seutereupa
enrico piaggio,엔리코 피아조,enriko piajo
francesca salvalajo,프란체스카 살발라요,peuranceseuka salbalrayo
fabrizio cicchitto,파브리치오 치키토,pabeuricio cikito
elena barolo,엘레나 바롤로,elrena barolro
fabrizio corona,파브리지오 코로나,pabeurijio korona
enrico viarisio,엔리코 비아리시오,enriko biarisio
francesco facchinetti,프란체스코 파키네티,peuranceseuko pakineti
francesca vettori,프란체스카 베토리,peuranceseuka betori
fabrizio saccomanni,파브리치오 사코만니,pabeuricio sakomanni
fabrizio rondolino,파브리치오 론돌리노,pabeuricio rondolrino
francesco belsito,프란체스코 벨시토,peuranceseuko belsito
eleonora pedron,엘레오노라 페드론,elreonora pedeuron
elenoire casalegno,엘레노이레 카살레뇨,elrenoire kasalrenyo
elido fazi,엘리도 파치,elrido paci
enzo monteleone,엔조 몬텔레오네,enjo montelreone
fatima trotta,파티마 트로타,patima teurota
fausto pepe,파우스토 페페,pauseuto pepe
francesco giavazzi,프란체스코 자바치,peuranceseuko jabaci
federica dassù,페데리카 다수,pederika dasu
elio de capitani,엘리오 드 카피타니,elrio deu kapitani
federica nargi,페데리코 나르기,pederiko nareugi
federica panicucci,페데리카 파니쿠치,pederika panikuci
federica pontremoli,페데리카 폰트레몰리,pederika ponteuremolri
federica sciarelli,페데리카 시아렐리,pederika siarelri
frank matano,프랑크 마타노,peurangkeu matano
elisa isoardi,엘리사 이소아르디,elrisa isoareudi
elisabetta gardini,엘리사베타 가르디니,elrisabeta gareudini
erasmo recami,에라스모 레카미,eraseumo rekami
elisabetta terabust,엘리사베타 테라부스트,elrisabeta terabuseuteu
elsa merlini,엘사 메를리니,elsa mereulrini
ernesto bonino,에르네스토 보니노,ereuneseuto bonino
elémire zolla,엘레미레 촐라,elremire colra
gaetano barbareschi,가에타노 바르바레스키,gaetano bareubareseuki
gabriella giammanco,가브리엘라 잠만코,gabeurielra jammanko
eros galbiati,에로스 갈리아티,eroseu galriati
ernesto maserati,에르네스토 마세라티,ereuneseuto maserati
federico vespa,페데리코 베스파,pederiko beseupa
emanuele fiano,에마누엘레 피아노,emanuelre piano
gaetano dentamaro,가에타노 덴타마로,gaetano dentamaro
felice evacuo,펠리체 에바쿠오,pelrice ebakuo
gaetano quagliariello,가데타노 콸리아리엘로,gadetano kwalriarielro
gaetano giuliano,가에타노 줄리아노,gaetano julriano
esterino montino,에스테리노 몬티노,eseuterino montino
gaetano gifuni,가에타노 지푸니,gaetano jipuni
gaetano miccichè,가에타노 미치케,gaetano micike
ettore maserati,에토레 마세라티,etore maserati
franco coop,프랑코 코프,peurangko kopeu
emilio sereni,에밀리오 세레니,emilrio sereni
franco calamandrei,프랑코 칼라만드레이,peurangko kalramandeurei
gea riva,제아 리바,jea riba
filippo candio,필리포 칸디오,pilripo kandio
emma danieli,엠마 다니엘리,emma danielri
enrica fico,엔리카 안토니오니,enrika antonioni
gennaro cassiani,젠나로 카시아니,jennaro kasiani
gennaro nunziante,젠나로 눈치안테,jennaro nunciante
geno pampaloni,제노 팜팔로니,jeno pampalroni
enrica pintore,엔리카 핀토레,enrika pintore
gerardo bianco,제라르도 비앙코,jerareudo biangko
georgia luzi,조지아 루지,jojia ruji
ezio carabella,에치오 카라벨라,ecio karabelra
germana pasquero,제르마나 파스케로,jereumana paseukero
ghemon,게몬,gemon
fabio beltram,파비오 벨트람,pabio belteuram
fiorentino sullo,피오렌티노 술로,piorentino sulro
franco piersanti,프랑코 피어산티,peurangko pieosanti
germano bellavia,제르마노 벨라비아,jereumano belrabia
ezio vigorelli,에치오 비고렐리,ecio bigorelri
franco pastorino,프랑코 파스토리노,peurangko paseutorino
gianguido baldi,잔귀도 발디,jangwido baldi
giorgio lupano,조르지오 루파노,joreujio rupano
gianluca iacono,지안루카 라코노,jianruka rakono
gianluca buonanno,잔루카 부오난노,janruka buonanno
gianluca coci,잔루카 코치,janruka koci
gianluca maria tavarelli,지안루카 마리아 타바렐리,jianruka maria tabarelri
gianluigi paragone,잔루이지 파라고네,janruiji paragone
franco sportelli,프랑코 스포르텔리,peurangko seuporeutelri
giacomo ferrari,자코모 페라리,jakomo perari
gisella monaldi,지셀라 모날디,jiselra monaldi
franco urru,프랑코 우루,peurangko uru
giacomo mancini,자코모 만치니,jakomo mancini
gianna gancia,잔나 간차,janna ganca
franz di cioccio,프란츠 디 시오치오,peuranceu di siocio
giacomo sedati,자코모 세다티,jakomo sedati
giorgio prosperi,조르조 프로스페리,joreujo peuroseuperi
giulia gattomonticone,줄리아 가토몬티코네,julria gatomontikone
giorgio squinzi,조르조 스퀸치,joreujo seukwinci
giorgio seveso,조르조 세베소,joreujo sebeso
gianni cuperlo,잔니 쿠페를로,janni kupereulro
giampaolo calanchini,잠파올로 칼란키니,jampaolro kalrankini
giampiero mughini,잠피에로 무기니,jampiero mugini
gabriele calindri,가브리엘레 칼린드리,gabeurielre kalrindeuri
giovanna botteri,조반나 보테리,jobanna boteri
giampiero boneschi,잠피에로 보네스키,jampiero boneseuki
giovanni alberti,조반니 알베르티,jobanni albereuti
giampiero ingrassia,잠피에로 인그라시아,jampiero ingeurasia
giulio donnini,줄리오 돈니니,julrio donnini
giulio bedeschi,줄리오 베데스키,julrio bedeseuki
giuseppe pierozzi,주세페 피에로치,jusepe pieroci
giuseppe pignatone,주세페 피냐토네,jusepe pinyatone
giuseppe porelli,주세페 포렐리,jusepe porelri
gianvito misuraca,잔비토 미수라카,janbito misuraka
giuseppe romita,주세페 로미타,jusepe romita
giancarlo basili,지안카를로 바실리,jiankareulro basilri
giovanni battista bertone,조반니 바티스타 베르토네,jobanni batiseuta bereutone
gigi sammarchi,지지 삼마르키,jiji sammareuki
giancarlo giammetti,잔카를로 잠메티,jankareulro jammeti
giuseppe scopelliti,주세페 스코펠리티,jusepe seukopelriti
giovanni bianconi,조반니 비안코니,jobanni biankoni
giuseppe averardi,주세페 아베라르디,jusepe aberareudi
giancarlo ligabue,잔카를로 리가부에,jankareulro rigabue
giancarlo pittelli,잔카를로 피텔리,jankareulro pitelri
giuseppe togni,주세페 토니,jusepe toni
giuseppe bartolozzi,주세페 바르톨로치,jusepe bareutolroci
giancarlo pagliarini,잔카를로 팔리아리니,jankareulro palriarini
gino lavagetto,지노 라바제토,jino rabajeto
giuseppe cambiano,주세페 캄비아노,jusepe kambiano
giovanni d'anzi,조반니 단치,jobanni danci
giuseppe zeno,주세페 제노,jusepe jeno
giovanni conso,조반니 콘소,jobanni konso
italo petriccione,이탈로 페트리치오네,italro peteuricione
grazia letizia veronese,그라치아 레티치아 베로네세,geuracia reticia beronese
giovanni galloni,조반니 갈로니,jobanni galroni
grazia migneco,그라치아 미그네코,geuracia migeuneko
italo falcomatà,이탈로 팔코마타,italro palkomata
italo zannier,이탈로 찬니에르,italro canniereu
graziano delrio,그라치아노 델리오,geuraciano delrio
gioele dix,조엘레 딕스,joelre digseu
giorgia gianetiempo,조르자 자네티엠포,joreuja janetiempo
ivan zazzaroni,이반 차차로니,iban cacaroni
giorgia bongianni,조르지아 봉기니니,joreujia bongginini
ivan cotroneo,이반 코트로네오,iban koteuroneo
ivan scalfarotto,이반 스칼파로토,iban seukalparoto
giorgia trasselli,조르지아 트라첼리,joreujia teuracelri
giorgio bo,조르조 보,joreujo bo
gualtiero tumiati,괄티에로 투미아티,gwaltiero tumiati
giuseppe giarrizzo,주세페 자리초,jusepe jarico
giorgio bertolaso,조르조 베르톨라소,joreujo bereutolraso
giuseppe graviano,주세페 그라비아노,jusepe geurabiano
guglielmo achille cavellini,굴리엘모 아킬레 카벨리니,gulrielmo akilre kabelrini
giovanni musotto,조반니 무소토,jobanni musoto
guglielmo vaccaro,굴리엘모 바카로,gulrielmo bakaro
guglielmo visocchi,굴리엘모 비소키,gulrielmo bisoki
giorgio cosmacini,조르조 코스마치니,joreujo koseumacini
giovanni pistollato,조반니 피스톨라토,jobanni piseutolrato
giuseppe lupis,주세페 루피스,jusepe rupiseu
giuseppe matteoni,주세페 마테오니,jusepe mateoni
giorgio gherarducci,조르조 게라르두치,joreujo gerareuduci
guido caprino,귀도 카프리노,gwido kapeurino
giorgio guazzaloca,조르조 과찰로카,joreujo gwacalroka
giovanni rezza,조반니 레차,jobanni reca
giovanni pieraccini,조반니 피에라치니,jobanni pieracini
giovanni piperno,조반니 피페르노,jobanni pipereuno
giorgio forattini,조르조 포라티니,joreujo poratini
giorgio franceschini,조르조 프란체스키니,joreujo peuranceseukini
giuseppe mininni,주세페 미닌니,jusepe mininni
lino mariani,리노 마리아니,rino mariani
guido corbellini,귀도 코르벨리니,gwido koreubelrini
giovanni selvaggi,조반니 셀바지,jobanni selbaji
josé greci,요세 그레치,yose geureci
jun ichikawa,준 이치카와,jun icikawa
juan manuel fabi,후안 마누엘 파비,huan manuel pabi
giovanni travaglini,조반니 트라발리니,jobanni teurabalrini
giovanni testori,조반니 테스토리,jobanni teseutori
giovanni vernia,조반니 베르니아,jobanni bereunia
salvatore baccaloni,살바토레 바칼로니,salbatore bakalroni
nicola martinucci,니콜라 마르티누치,nikolra mareutinuci
salvatore aldisio,살바토레 알디시오,salbatore aldisio
kevin fischnaller,케빈 피슈날러,kebin pisyunalreo
marco liorni,마르코 리오르니,mareuko rioreuni
lorenzo guerini,로렌초 궤리니,rorenco gwerini
guillermo mariotto,기예르모 마리오토,giyereumo marioto
lorenzo scattorin,로렌초 스카토린,rorenco seukatorin
marco mazzocchi,마르코 마초키,mareuko macoki
luigi gasparotto,루이지 가스파로토,ruiji gaseuparoto
lamberto sposini,람베르토 스포시니,rambereuto seuposini
laura efrikian,라우라 에프리키안,raura epeurikian
laura esposto,라우라 에스포스토,raura eseuposeuto
lorenzo vignolo,로렌조 비뇰로,rorenjo binyolro
laura chimenti,라우라 키멘티,raura kimenti
igino coffari,이지노 코파리,ijino kopari
laura boldrini,라우라 볼드리니,raura boldeurini
luigi messedaglia,루이지 메세달리아,ruiji mesedalria
laura marinoni,로라 마리노니,rora marinoni
laura ravetto,라우라 라베토,raura rabeto
laura pariani,라우라 파리아니,raura pariani
ilaria spada,일라리아 스패다,ilraria seupaeda
luca ceriscioli,루카 체리시올리,ruka cerisiolri
marco vannini,마르코 반니니,mareuko bannini
marco tamburini,마르코 탐부리니,mareuko tamburini
ilenia lazzarin,일레니아 라차린,ilrenia racarin
irene ferri,아이린 페리,airin peri
luca lucini,루카 루시니,ruka rusini
irene tinagli,이레네 티날리,irene tinalri
maria angiolillo,마리아 안졸릴로,maria anjolrilro
leonardo graziano,레오나르도 그라치아노,reonareudo geuraciano
leone cattani,레오네 카타니,reone katani
lucia joyce,루차 조이스,ruca joiseu
maria giovanna maglie,마리아 조반나 말리에,maria jobanna malrie
luca telese,루카 텔레세,ruka telrese
luca sofri,루카 소프리,ruka sopeuri
luisa amatucci,루이사 아마투치,ruisa amatuci
luciano benetton,루차노 베네톤,rucano beneton
leopoldo rubinacci,레오폴도 루비나치,reopoldo rubinaci
luciano caramel,루차노 카라멜,rucano karamel
luciana savignano,루차나 사비냐노,rucana sabinyano
luigi zanda,루이지 찬다,ruiji canda
maria jottini,마리아 요티니,maria yotini
luciano federico,루치아노 페데리코,ruciano pederiko
lia zoppelli,리아 초펠리,ria copelri
luciana castellina,루차나 카스텔리나,rucana kaseutelrina
maria paiato,마리아 파이아토,maria paiato
maddalena corvaglia,마달레나코르 바글리아,madalrenakoreu bageulria
mario pulvirenti,마리오 풀비렌티,mario pulbirenti
mario sconcerti,마리오 스콘체르티,mario seukoncereuti
lidia martorana,리디아 마르토라나,ridia mareutorana
luciano gallino,루차노 갈리노,rucano galrino
liliana bonfatti,릴리아나 본파티,rilriana bonpati
luciano mattia cannito,루치아노 맛티아 카니토,ruciano mastia kanito
luciano mecacci,루차노 메카치,rucano mekaci
mariangela gualtieri,마리안젤라 괄티에리,marianjelra gwaltieri
marianella bargilli,마리아넬라 바르길리,marianelra bareugilri
mario staderini,마리오 스타데리니,mario seutaderini
lina volonghi,리나 볼롱기,rina bolronggi
marina giordana,마리나 지오다나,marina jiodana
lucio pellegrini,루치오 펠레그리니,rucio pelregeurini
ludovico d'aragona,루도비코 다라고나,rudobiko daragona
maurizio crozza,마우리치오 크로차,mauricio keuroca
maurizio belpietro,마우리치오 벨피에트로,mauricio belpieteuro
marina sereni,마리나 세레니,marina sereni
marina spadafora,마리나 스파다포라,marina seupadapora
marina tagliaferri,마리나 탈리아페리,marina talriaperi
marta dassù,마르타 다수,mareuta dasu
marino busdachin,마리노 부스다킨,marino buseudakin
massimiano bucchi,마시미아노 부키,masimiano buki
massimiliano camaiti,마시밀리아노 카마이티,masimilriano kamaiti
luigi bertoldi,루이지 베르톨디,ruiji bereutoldi
massimiliano fedriga,마시밀리아노 페드리가,masimilriano pedeuriga
myrta merlino,미르타 메를리노,mireuta mereulrino
maurizio lastrico,마우리치오 라스트리코,mauricio raseuteuriko
maurizio pistocchi,마우리치오 피스토키,mauricio piseutoki
nadia toffa,나디아 토파,nadia topa
maurizio scudiero,마우리치오 스쿠디에로,mauricio seukudiero
massimiliano ossini,마시밀리아노 오시니,masimilriano osini
massimiliano pazzaglia,마시밀리아노 파찰리아,masimilriano pacalria
maurizio scattorin,마우리치오 스카토린,mauricio seukatorin
napoleone martinuzzi,나폴레오네 마르티누치,napolreone mareutinuci
mauro casciari,마우로 카시아리,mauro kasiari
natalino otto,나탈리노 오토,natalrino oto
massimo bitonci,마시모 비톤치,masimo bitonci
mario deaglio,마리오 데알리오,mario dealrio
mario dondero,마리오 돈데로,mario dondero
massimo caputi,마시모 카푸티,masimo kaputi
marco damilano,마르코 다밀라노,mareuko damilrano
mario ferrari aggradi,마리오 페라리 아그라디,mario perari ageuradi
mario feliciani,마리오 펠리차니,mario pelricani
massimo gramellini,마시모 그라멜리니,masimo geuramelrini
paola turci,파올라 투르치,paolra tureuci
niccolò ghedini,니콜로 게디니,nikolro gedini
paola tovaglia,파올라 토발리아,paolra tobalria
massimo giletti,마시모 질레티,masimo jilreti
paola quattrini,파올라 콰트리니,paolra kwateurini
paolo bargiggia,파올로 바르지자,paolro bareujija
piero bigongiari,피에로 비곤자리,piero bigonjari
micaela pignatelli,미카엘라 피냐텔리,mikaelra pinyatelri
massimo pilotti,마시모 필로티,masimo pilroti
michela miti,미켈라 미티,mikelra miti
massimo wertmüller,마시모 베르트뮐러,masimo bereuteumwilreo
paolo cananzi,파올로 카난지,paolro kananji
paolo cappa,파올로 카파,paolro kapa
paolo celata,파올로 첼라타,paolro celrata
paolo cognetti,파올로 코녜티,paolro konyeti
matteo branciamore,마테오 브란시아모레,mateo beuransiamore
paolo d'antoni,파올로 단토니,paolro dantoni
nilo piccoli,닐로 피콜리,nilro pikolri
matteo cerami,마테오 체라미,mateo cerami
michele fassio,미켈레 파시오,mikelre pasio
piero pirelli,피에로 피렐리,piero pirelri
pietro amendola,피에트로 아멘돌라,pieteuro amendolra
pietro campilli,피에트로 캄필리,pieteuro kampilri
remo gaspari,레모 가스파리,remo gaseupari
miela reina,미엘라 레이나,mielra reina
renato altissimo,레나토 알티시모,renato altisimo
mimmo locasciulli,밈모 로카슐리,mimmo rokasyulri
pietro mancini,피에트로 만치니,pieteuro mancini
miranda martino,미란다 마르티노,miranda mareutino
paolo pietrangeli,파올로 피에트란젤리,paolro pieteuranjelri
pietro marchesani,피에트로 마르케사니,pieteuro mareukesani
miriam pirazzini,미리암 피라치니,miriam piracini
miriam candurro,미리암 칸두로,miriam kanduro
miriam mafai,미리암 마파이,miriam mapai
renato mieli,레나토 미엘리,renato mielri
mirko petrini,미르코 페트리니,mireuko peteurini
oriella dorella,오리엘라 도렐라,orielra dorelra
renato novara,레나토 노바라,renato nobara
paolo pressacco,파올로 프레사코,paolro peuresako
