vika jigulina,ヴィカ・ジグリーナ,vika・jigurīna
tudorel toader,トゥドレル・トアデール,tudoreru・toadēru
dana rogoz,ダナ・ロゴズ,dana・rogozu
florentinacristina petre,フローレンティーナ・ペトル,furōrentīna・petoru
andreea ispas,アンドレエア・イスパス,andoreea・isupasu
sorin grindeanu,ソリン・グリンデアヌ,sorin・gurindeanu
anca ionescu,アンカ・イオネスク,anka・ionesuku
theodor codreanu,テオドール・コドレアヌ,teodōru・kodoreanu
tudor pamfile,トゥドル・パムフィレ,tudoru・pamufire
valeriu graur,ヴァレリュー・グラウル,vareryū・gurauru
sergiu luca,セルジウ・ルカ,serujiu・ruka
patricia maria țig,パトリチア・マリア・ツィグ,patorichia・maria・tsigu
alexander nanau,アレクサンダー・ナナウ,arekusandā・nanau
eugen dijmărescu,ユージェン・ディジュマレスコ,yūjen・dijumaresuko
nicolae mătcaș,ニコラエ・マトカシュ,nikorae・matokashu
ilie sârbu,イリエ・スルブ,irie・surubu
levente molnár,モルナール・レヴェンテ,morunāru・revuェnte
anita nagy,アニタ・ナジ,anita・naji
constantin papp,コンスタンティン・パップ,konsutantin・pappu
svetozar popović,スヴェトザル・ポポヴィッチ,suvuェtozaru・popovitchi
niță cireașă,ニツァ・チレアシャ,nitsa・chireasha
lia bugnar,リア・バニャー,ria・banyā
mihai ralea,ミハイ・ラレア,mihai・rarea
ana ularu,アナ・ウラル,ana・uraru
dorian popa,ドリアン・ポパ,dorian・popa
andreea aanei,アンドレエア・アアネイ,andoreea・aanei
florin zamfirescu,フロリン・ザムフィレスク,furorin・zamufiresuku
vasile bolea,ヴァシレ・ボレア,vashire・borea
constantin niculae,コンスタンティン・ニクラエ,konsutantin・nikurae
tudor cristian jurgiu,トゥドール・クリスチャン・ジュルギウ,tudōru・kurisuchan・jurugiu
iulian chifu,イウリアン・チフ,iurian・chifu
michael horodniceanu,マイケル・ホロドニチアヌ,maikeru・horodonichianu
giulia nahmany,ジュリア・ナハマニー,juria・nahamanī
grigore leșe,グリゴア・レシェ,gurigoa・reshe
florin ioniță,フロリン・イオニタ,furorin・ionita
camelia ceasar,カメリア・シーザー,kameria・shīzā
constantin doncea,コンスタンティン・ドンチャ,konsutantin・doncha
mihail ghelmegeanu,ミハイル・ゲルメギェアヌ,mihairu・gerumegiェanu
irina bara,イリナ・バラ,irina・bara
jean de la craiova,ジャン・デ・ラ・クライオバ,jan・de・ra・kuraioba
astrid fodor,アストリド・フォドル,asutorido・fodoru
sorin cîmpeanu,ソリン・クンペアーヌ,sorin・kunpeānu
marius antonescu,マリウス・アントネスク,mariusu・antonesuku
andrei ursache,アンドレイ・ウルサケ,andorei・urusake
viorel lucaci,ビオレル・ルカチ,bioreru・rukachi
vlad nistor,ブラッド・ニストル,buraddo・nisutoru
nick stuart,ニック・スチュアート,nikku・suchuāto
vlad dragomir,ヴラド・ドラゴミール,vurado・doragomīru
marius nichiteanu,マリウス・ニシテーネ,mariusu・nishitēne
nicușor fota,ニクショル・フォタ,nikushoru・fota
lica gheorghiu,リカ・ゲオルギウ,rika・georugiu
didier nunes,ディディ・ヌネス,didi・nunesu
eugen teodorovici,エウゼン・テオドロヴィチ,euzen・teodorovichi
ștefania mărăcineanu,シュテファニア・マラチネヌ,shutefania・marachinenu
tudorel bratu,トゥドレル・ブラトゥ,tudoreru・buratu
sabin strătilă,サビン・ストラティラ,sabin・sutoratira
matei balș,マテイ・バルシュ,matei・barushu
liviu voinea,リヴィウ・ヴォイネア,riviu・vuォinea
silviu purcărete,シルヴィウ・プルカレーテ,shiruviu・purukarēte
raul palmeș,ラウル・パルメシュ,rauru・parumeshu
olguța berbec,オルグタ・ベルベック,oruguta・berubekku
bogdan aurescu,ボグダン・アウレスク,bogudan・auresuku
magda puskas,マグダ・プシュカシュ,maguda・pushukashu
alla dolință,アラ・ドリンツァ,ara・dorintsa
corneliu furculiță,コルネリウ・フォルクリツァ,koruneriu・forukuritsa
adrian lebedinschi,アドリアン・レベディンシュ,adorian・rebedinshu
ghenadi mitriuc,ゲナディ・ミトリウク,genadi・mitoriuku
radu mudreac,ラドゥ・マドラック,radu・madorakku
ioan negrei,イオアン・ネグレイ,ioan・negurei
ioan crișan,イオアン・クリシャン,ioan・kurishan
alexandru ciorbă,サンドゥ・チョルバ,sandu・choruba
marcela topor,マルセラ・トポル,marusera・toporu
răzvan horj,ラズヴァン・ホルジ,razuvan・horuji
petru florescu,ペトル・フロレスク,petoru・furoresuku
teodor coste,テオドル・コステ,teodoru・kosute
mariana șora,マリアナ・ショラ,mariana・shora
vlad voiculescu,ヴラド・ヴォイクレスク,vurado・vuォikuresuku
anca pop,アンカ・ポップ,anka・poppu
radu vâlcan,ラドゥ・ヴァルカン,radu・varukan
benonie ștefan,ベノニエ・シュテファン,benonie・shutefan
laurențiu popescu,ラウレンツィウ・ポペスク,raurentsiu・popesuku
denisa golgotă,デニサ・ゴルゴタ,denisa・gorugota
alin ignea,アリン・イグネア,arin・igunea
gheorghe fazekaș,ジョルジ・ファゼカス,joruji・fazekasu
ionel badiu,イオネル・バディウ,ioneru・badiu
alin dudea,アリン・ドゥデア,arin・dudea
marian târșă,マリアン・トゥルシャ,marian・turusha
andrei burcă,アンドレイ・ブルカ,andorei・buruka
marius ungureanu,マリウス・ウングレアーヌ,mariusu・ungureānu
iuliana popa,イウリアナ・ポパ,iuriana・popa
marcel pigulea,マルセル・ピグレア,maruseru・pigurea
anton tauf,アントン・タウフ,anton・taufu
nicolae panța,ニコラエ・パンツァ,nikorae・pantsa
jovan marković,ヨヴァン・マルコヴィッチ,yovan・marukovitchi
diana cavallioti,ダイアナ・カヴァリオティ,daiana・kavarioti
mihai fifor,ミハイ・フィフォル,mihai・fiforu
ion cucu,ヨン・クク,yon・kuku
marian stoenac,マリアン・ストエナク,marian・sutoenaku
andreea chira,アンドレエア・キーラ,andoreea・kīra
gheorghe chira,ゲオルゲ・キーラ,georuge・kīra
radu petrescu,ラドゥ・ペトレスク,radu・petoresuku
iulian carabela,ユリアン・カラベラ,yurian・karabera
tiberiu lung,ティベリウ・ルング,tiberiu・rungu
steliancristian ion,ステリアン・イオン,suterian・ion
cristian măcelaru,クリスティアン・マチェラル,kurisutian・macheraru
andrei finți,アンドレイ・フィンツィ,andorei・fintsi
francisc dobrai,フランチスク・ドブライ,furanchisuku・doburai
aida moga,アイダ・モガ,aida・moga
feli donose,フェリ・ドノセ,feri・donose
tudor boldor,チューダー・ボルドール,chūdā・borudōru
oltin hurezeanu,オルティン・フレゼアヌ,orutin・furezeanu
dan barna,ダン・バルナ,dan・baruna
paul stănescu,ポール・スタネスク,pōru・sutanesuku
lucian ion,ルチアン・イオン,ruchian・ion
rada mihalcea,ラダ・ミハルセア,rada・miharusea
paul antoche,パウル・アントケ,pauru・antoke
aurel pădureanu,オーレル・パドゥレアヌ,ōreru・padureanu
alina berzunțeanu,アリーナ・ベルズンシェアヌ,arīna・beruzunsheanu
ilinca hărnuț,イリンカ・ハーナット,irinka・hānatto
ingrid bisu,イングリット・ビス,inguritto・bisu
eneli,エネリ,eneri
irina rimes,イリナ・リメス,irina・rimesu
petre bejan,ペトレ・ベジャン,petore・bejan
cristian balgiu,クリスティアン・バルジュ,kurisutian・baruju
neculai predica,ネキュライ・プレディカ,nekyurai・puredika
ghiță popp,ギツァ・ポップ,gitsa・poppu
ilinca băcilă,イリンカ・バチラ,irinka・bachira
alexandru pașcanu,アレックス・パシュカヌ,arekkusu・pashukanu
dana bunescu,ダナ・ブネスク,dana・bunesuku
ada solomon,アダ・ソロモン,ada・soromon
alexandru cîrneală,アレクサンドル・シルネアラ,arekusandoru・shiruneara
constantin fugașin,コンスタンティン・フガシン,konsutantin・fugashin
nathan ross margold,ネイサン・ロス・マーゴールド,neisan・rosu・māgōrudo
ionuț biceanu,ヨヌツ・ビチェアヌ,yonutsu・bicheanu
alex florea,アレックス・フローラ,arekkusu・furōra
ester peony,エスター・ピオニー,esutā・pionī
bogdan chipirliu,ボグダン・チピルリウ,bogudan・chipiruriu
marius panduru,マリウス・パンドゥル,mariusu・panduru
cornel feruță,コルネル・フェルータ,koruneru・ferūta
alexandru costache,アレクサンドル・コスタケ,arekusandoru・kosutake
luis nițu,ルイス・ニツ,ruisu・nitsu
ion chicu,イオン・チク,ion・chiku
silvia bădescu,シルビア・バデスク,shirubia・badesuku
claudiu pamfile,クラウディウ・パムフィレ,kuraudiu・pamufire
tania popa,タニア・ポパ,tania・popa
anca dumitra,アンカ・ドゥミトラ,anka・dumitora
anghel damian,アンゲル・ダミアン,angeru・damian
levent sali,レベント・サリ,rebento・sari
corneliu ulici,コーネリウ・ウリチ,kōneriu・urichi
sorin brotnei,ソリン・ブロトニー,sorin・burotonī
toma niga,トマ・ニガ,toma・niga
francisc papp,フランチスク・パップ,furanchisuku・pappu
mihai velisar,ミハイ・ヴェリサル,mihai・vuェrisaru
paula pcay,パウラ・ペーカイ,paura・pēkai
cristian terheș,クリスティアン・テルヘシュ,kurisutian・teruheshu
ramona barta,ラモーナ・バルター,ramōna・barutā
adrian zaluschi,アドリアン・ザルスキ,adorian・zarusuki
nora steriadi,ノラ・ステリアディ,nora・suteriadi
gabriel croitoru,ガブリエル・クロイトル,gaburieru・kuroitoru
marius leca,マリウス・レカ,mariusu・reka
sorin medeleni,ソリン・メデレニ,sorin・medereni
claudiu trandafir,クラウディウ・トランダフィール,kuraudiu・torandafīru
rareș lazăr,レアシュ・ラザール,reashu・razāru
sabrina ionescu,サブリナ・イオネスク,saburina・ionesuku
luminițateodora odobescu,ルミニタ・オドベスク,ruminita・odobesuku
ilie poenaru,イリエ・ポエナル,irie・poenaru
dragoș penescu,ドラゴシュ・ペネスク,doragoshu・penesuku
francisc cristea,フランシスク・クリステア,furanshisuku・kurisutea
constantin iancovescu,コンスタンティン・イアンコヴェスク,konsutantin・iankovuェsuku
andrei cordea,アンドレイ・コルデア,andorei・korudea
bogdan jica,ボグダン・ジカ,bogudan・jika
constantin radu,コンスタンティン・ラドゥ,konsutantin・radu
mihai udrea,ミハイ・ウドレア,mihai・udorea
marian adochiței,マリアン・アドチシェイ,marian・adochishei
attila deák,アティッラ・ディーク,atirra・dīku
alin fică,アリン・フィカ,arin・fika
răzvan matiș,ラズヴァン・マティシュ,razuvan・matishu
alin panc,アリン・パンチ,arin・panchi
sergiu costache,セルジュ・コスターケ,seruju・kosutāke
laurențiu ardelean,ラウレンツィウ・アルデレアン,raurentsiu・aruderean
florin birta,フロリン・ビルタ,furorin・biruta
adrian lustig,アドリアン・ラスティグ,adorian・rasutigu
emanuela ionica,エマヌエラ・イオニカ,emanuera・ionika
manuela ciucur,マヌエラ・シウクル,manuera・shiukuru
maria junghetu,マリア・ユングヘトゥ,maria・yunguhetu
theo rose,テオ・ローズ,teo・rōzu
george ulmeni,ジョージ・ウルメニ,jōji・urumeni
dorina done,ドリナ・ドーン,dorina・dōn
mihai mag,ミハイ・マグ,mihai・magu
alcina dimitrescu,オルチーナ・ドミトレスク,oruchīna・domitoresuku
filip ugran,フィリップ・ウグラン,firippu・uguran
olivia nita,オリビア・ニタ,oribia・nita
igor grosu,イゴル・グロス,igoru・gurosu
costin cambir,コスティン・キャンバー,kosutin・kyanbā
monica odagiu,モニカ・オダギウ,monika・odagiu
răzvan onea,ラズヴァン・オネア,razuvan・onea
ioana mihăilă,イワナ・ミハイラ,iwana・mihaira
mihaela nestorescu,ミハエラ・ネストレスク,mihaera・nesutoresuku
tzancă uraganu,ツァンカ・ウラガヌ,tsanka・uraganu
marcello cobzarju,マルセル・コブザリウ,maruseru・kobuzariu
olga verbitchi,オルガ・ヴェルビッチ,oruga・vuェrubitchi
aarne,アアルネ,aarune
lucian ghimiși,ルシアン・ギミシ,rushian・gimishi
petre cănciulescu,ペトレ・カンチュレスク,petore・kanchuresuku
karl heisenberg,カール・ハイゼンベルク,kāru・haizenberuku
cristian comeagă,クリスチャン・コマガ,kurisuchan・komaga
andia,アンディア,andia
patricia poienaru,パトリシア・ポイナール,patorishia・poināru
claudiu mitcu,クラウディウ・ミク,kuraudiu・miku
tudor smoleanu,チュードル・スモレヌ,chūdoru・sumorenu
nicu mihoc,ニク・ミホック,niku・mihokku
emil măndănac,エミル・マンダナック,emiru・mandanakku
adelina pestritu,アデリナ・ペストリトゥ,aderina・pesutoritu
alexandra poiana,アレクサンドラ・ポイアナ,arekusandora・poiana
cătălin preda,カタリン・プレダ,katarin・pureda
emaa,エマー,emā
mario fresh,マリオ・フレッシュ,mario・furesshu
maruca băiașu,マルカ・バイアシュ,maruka・baiashu
alecs năstoiu,アレックス・ナストイウ,arekkusu・nasutoiu
andreea grămoșteanu,アンドレア・グラモステアヌ,andorea・guramosuteanu
dragoș nicolae mădăraș,ドラゴシュ・ニコラエ・マダラシュ,doragoshu・nikorae・madarashu
ana baniciu,アナ・バニシウ,ana・banishiu
vescan,ベスカン,besukan
marian ciripan,マリアン・シリパン,marian・shiripan
ana odagiu,アナ・オダギウ,ana・odagiu
cătălin jugravu,カタリン・ジュグラブ,katarin・jugurabu
irina saulescu,イリーナ・サウレスク,irīna・sauresuku
ocna sibiului,オクナ・シビウルイ,okuna・shibiurui
vâlcea,ヴルチャケン,vuruchaken
eternul derbi,エテルヌル・デルビー,eterunuru・derubī
alba,アルバケン,arubaken
zalău,ザラウ,zarau
dâmbovița,ドゥンボヴィツァケン,dunbovitsaken
cugir,クジル,kujiru
jimbolia,ジンボリア,jinboria
piatra neamț,ピアトラ・ネアムツ,piatora・neamutsu
maramureș,マラムレシュケン,maramureshuken
covasna,コヴァスナケン,kovasunaken
prahova,プラホヴァケン,purahovaken
motru,モトル,motoru
putna,プトナ,putona
olt,オルトケン,orutoken
mureș,ムレシュケン,mureshuken
oțelu roșu,オチェル・ロシュ,ocheru・roshu
gorj,ゴルジュケン,gorujuken
harghita,ハルギタケン,harugitaken
neamț,ネアムツケン,neamutsuken
bocșa,ボクシャ,bokusha
sălaj,サラージュケン,sarājuken
dolj,ドルジュケン,dorujuken
ilfov,イルフォヴケン,irufovuken
mehedinți,メヘディンチケン,mehedinchiken
isaccea,イサクチャ,isakucha
rapid bucurești,ラピド・ブカレスト,rapido・bukaresuto
băneasa,バネアサ,baneasa
roman,ロマン,roman
teleorman,テレオルマンケン,tereorumanken
ialomița,ヤロミツァケン,yaromitsaken
salcea,サルチャ,sarucha
bechet,ベケト,beketo
găești,ガエシュティ,gaeshuti
bihor,ビホルケン,bihoruken
zimnicea,ジムニチャ,jimunicha
argeș,アルジェシュケン,arujeshuken
cluj,クルジュケン,kurujuken
orăștie,オラシュティエ,orashutie
slatina,スラティナ,suratina
alexandria,アレクサンドリア,arekusandoria
bușteni,ブシュテニ,bushuteni
timiș,ティミシュケン,timishuken
liga națională,リーガ・ナツィオナラ,rīga・natsionara
dara,ダラ,dara
râpa,ルパ,rupa
turceni,トゥルチェニ,turucheni
sovata,ソヴァタ,sovata
vrancea,ヴランチャケン,vuranchaken
cenei,チェネイ,chenei
gurba,グルバ,guruba
murfatlar,ムルファトラル,murufatoraru
crișana,クリシャナ,kurishana
ovidiu,オビディウ,obidiu
sântana,スンタナ,suntana
stepa ponticocaspică,ポントス・ステップ,pontosu・suteppu
amara,アマラ,amara
ardud,アルドゥド,arududo
șomcuta mare,ショムクタ・マーレ,shomukuta・māre
eurocorp,オウシュウゴウドウグン,oushuugoudougun
irina,イリナ,irina
livada,リヴァダ,rivada
vișeu de sus,ヴィショウ・デ・スース,vishou・de・sūsu
ponoarele,ポノアレレ,ponoarere
rona,ロナ,rona
ostra,オストラ,osutora
săliște,サリシュテ,sarishute
filpișu mare,フィルピシュ・マーレ,firupishu・māre
săcel,サチェル,sacheru
făget,ファジェット,fajetto
cristuru secuiesc,クリストゥル・セクイエスク,kurisuturu・sekuiesuku
măcin,マチン,machin
deta,デタ,deta
horea,ホリア,horia
ciolpani,チョルパニ,chorupani
valea vișeului,ヴァレア・ヴィシェウルイ,varea・visheurui
hârlău,フルラウ,fururau
otopeni,オトペニ,otopeni
bonțida,ボンツィダ,bontsida
mamaia,ママイア,mamaia
petroșnița,ペトロシュニツァ,petoroshunitsa
negru vodă,ネグル・ヴォダ,neguru・vuォda
dărmănești,ダルマネシュティ,darumaneshuti
bârlad,バルラード,barurādo
adjud,アドジュード,adojūdo
agnita,アグニタ,agunita
adamclisi,アダムクリシ,adamukurishi
ciacova,キアコヴァ,kiakova
iam,ヤム,yamu
târgu frumos,トゥルグ・フルモス,turugu・furumosu
câmpina,クンピナ,kunpina
orman,オルマン,oruman
mediaș,メディアシュ,mediashu
lipova,リポヴァ,ripova
rovinari,ロヴィナリ,rovinari
sarasău,サラサウ,sarasau
calafat,カラファート,karafāto
târgu neamț,トゥルグ・ネアムツ,turugu・neamutsu
beiuș,ベユシュ,beyushu
pata,パタ,pata
săcueni,サクエニ,sakueni
chiajna,キアジナ,kiajina
partium,パルティウム,parutiumu
aerostar,アエロスター,aerosutā
țara moților,ツァラ・モツィロール,tsara・motsirōru
buziaș,ブジアシュ,bujiashu
strehaia,ストレハイア,sutorehaia
năsăud,ナサウド,nasaudo
păltiniș,パルティニシュ,parutinishu
tismana,ティスマナ,tisumana
câmpulung,クンプルング,kunpurungu
borzești,ボルゼシュティ,boruzeshuti
iernut,イェルヌート,yerunūto
air bucharest,エア・ブカレスト,ea・bukaresuto
aiud,アユド,ayudo
petrila,ペトリラ,petorira
huși,フシ,fushi
baia,バイア,baia
berbești,ベルベシュティ,berubeshuti
săpânța,サプンツァ,sapuntsa
ianca,ヤンカ,yanka
mizil,ミジル,mijiru
oltena,クラヨーヴァジドウシャ,kurayōvajidousha
jibou,ジボウ,jibou
gurbediu,グルベディウ,gurubediu
charlottenburg,シャルロッテンブルク,sharurottenburuku
filpișu mic,フィルピシュ・ミク,firupishu・miku
panic,パニック,panikku
târgu cărbunești,トゥルグ・カルブネシュティ,turugu・karubuneshuti
cehu silvaniei,チェフ・シルヴァニェイ,chefu・shiruvaniェi
biertan,ビエルタン,bierutan
lisa,リサ,risa
bata,バタ,bata
toplița,トプリツァ,topuritsa
bara,バラ,bara
râșnov,ルシュノヴ,rushunovu
moldova veche,モルドバ・ヴェッキ,morudoba・vuェkki
dalnic,ダルニク,daruniku
vulcan,ヴルカン,vurukan
sânmiclăuș,スンミクラウシュ,sunmikuraushu
șieu,シェウ,sheu
turnișor,トゥルニショル,turunishoru
ghimbav,ギンバヴ,ginbavu
tapia,タピア,tapia
breaza,ブラーザ,burāza
tălmaciu,タルマチウ,tarumachiu
baia sprie,バヤ・スプリエ,baya・supurie
sândominic,チークセントドモコシュ,chīkusentodomokoshu
câlnic,クルニク,kuruniku
ieud,イェウド,yeudo
aninoasa,アニノアサ,aninoasa
cheresig,ケレシグ,kereshigu
viscri,ヴィスクリ,visukuri
bala,バラ,bara
beclean,ベクレアン,bekurean
predeal,プレデアル,puredearu
agigea,アジジャ,ajija
săvădisla,サバディスラ,sabadisura
augustin,アウグスティン,augusutin
oncești,オンチェシュティ,oncheshuti
rășinari,ラシナリ,rashinari
foresta fălticeni,フォレスタ・ファルティチェニ,foresuta・faruticheni
mândruloc,ムンドルロック,mundorurokku
orșova,オルショヴァ,orushova
girișu negru,ジリシュ・ネグル,jirishu・neguru
saschiz,サスキズ,sasukizu
transelectrica,トランスエレクトリカ,toransuerekutorika
cenad,ケナド,kenado
călugăreni,ミクハーザ,mikuhāza
azuga,アズガ,azuga
porolissum,ポロリッスム,pororissumu
mineu,ジメニェー,jimeniェー
horia,ホリア,horia
sărățel,サラツェル,saratseru
nojag,ノジャグ,nojagu
ocna șugatag,オクナ・シュガタグ,okuna・shugatagu
stadionul municipal,スタディオヌル・ムニシパル,sutadionuru・munishiparu
anina,アニーナ,anīna
moldova nouă,モルドバ・ノワ,morudoba・nowa
săcele,サチェレ,sachere
belfir,ベルフィル,berufiru
lindenfeld,リンデンフェルド,rindenferudo
ineu,イネウ,ineu
mărășești,マラシェシュティ,marasheshuti
dico și tigănaș,ディコ・シ・ツィガナシュ,diko・shi・tsiganashu
poiana brașov,ポイアナ・ブラショフ,poiana・burashofu
sânnicolau mare,スンニコラウ・マーレ,sunnikorau・māre
minimax,ミニマックス,minimakkusu
rozavlea,ロザヴリャ,rozavurya
cisnădie,チスナディエ,chisunadie
hațeg,ハツェグ,hatsegu
certeju de sus,セルテュジュ・デ・サス,serutyuju・de・sasu
simeria,シメリア,shimeria
reghin,レギン,regin
frumosu,フルモス,furumosu
năvodari,ナボダリ,nabodari
fcu craiova,ウニヴェルシタテア・クライオヴァ,univuェrushitatea・kuraiova
vladimirescu,ヴラディミレスク,vuradimiresuku
făurei,ファウレイ,faurei
ciceu,チチェウ,chicheu
vinga,ヴィンガ,vinga
eforie,エフォリエ,eforie
valea viilor,ヴァレア・ヴィイロル,varea・viiroru
dârjiu,ドゥルジウ,durujiu
mărțișor,マルテニツァ,marutenitsa
tisa,ティサ,tisa
sânpetru,スンペトル,sunpetoru
valea nadășului,ファレア・ナダシュルイ,farea・nadashurui
selecția națională,セレクツィア・ナツィオナーラ,serekutsia・natsionāra
cavnic,カヴニク,kavuniku
tilișca,ティリシュカ,tirishuka
stadionul dinamo,スタディオヌル・ディナモ,sutadionuru・dinamo
jamu mare,ジャム・マーレ,jamu・māre
prejmer,プレジュメル,purejumeru
câmpulung la tisa,クンプルング・ラ・ティサ,kunpurungu・ra・tisa
rotunda,ロトゥンダ,rotunda
gazeta sporturilor,ガゼタ・スポルトゥリロル,gazeta・suporuturiroru
balotești,バロテシュティ,baroteshuti
cotroceni,コトロチェニ,kotorocheni
strâmtura,ストルムトゥラ,sutorumutura
șirna,シルナ,shiruna
măgurele,マグレレ,magurere
troesmis,トロエミス,toroemisu
groupama,グルパマ,gurupama
stadionul gaz metan,スタディオヌル・ガズ・メタン,sutadionuru・gazu・metan
mediapro music,メディアプロ・ミュージック,mediapuro・myūjikku
stadionul tineretului,ティネレトゥルイ・スタジアム,tinereturui・sutajiamu
electroputere,エレクトロプテレ,erekutoroputere
bistreț,ビストレッツ,bisutorettsu
stadionul emil alexandrescu,スタディオヌル・エミル・アレクサンドレスク,sutadionuru・emiru・arekusandoresuku
stadionul ion oblemenco,スタディオヌル・ヨン・オブレメンコ,sutadionuru・yon・oburemenko
bod,ボド,bodo
biharia,ビハリア,biharia
colonești,コロネスティ,koronesuti
negri,ネグリ,neguri
șimian,エールシェムイェーン,ērushemuyēn
tinca,ティンカ,tinka
fratelia,フラテリア,furateria
uda,ウダ,uda
ilia,イリア,iria
bogdan vodă,ボグダン・ヴォダ,bogudan・vuォda
casa presei libere,カーサ・プレセイ・リベレ,kāsa・puresei・ribere
prislav,ペレヤスラヴェツ,pereyasuravuェtsu
romula,ロムラ,romura
stadionul arcul de triumf,スタディオヌル・アルクル・デ・トリウンフ,sutadionuru・arukuru・de・toriunfu
holt,ホルト,horuto
snagov,スナゴヴ,sunagovu
jilava,ジラヴァ,jirava
remetea chioarului,レメテア・キオアルルイ,remetea・kioarurui
tărtăria,タルタリア,tarutaria
rocar,ロカー,rokā
tâncăbești,トゥンカベシュティ,tunkabeshuti
petrom,ペトロム,petoromu
histria,ヒストリアイセキ,hisutoriaiseki
jurnalul național,ジュルナルル・ナツィオナル,jurunaruru・natsionaru
ungheni,ウンゲニ,ungeni
salina turda,サリーナ・トゥルダ,sarīna・turuda
stadionul dan păltinișanu,スタディオヌル・ダン・パルティヌシャヌ,sutadionuru・dan・parutinushanu
afumați,アフマツィ,afumatsi
râmnicelu,ルムニチェル,rumunicheru
clinceni,クリンチェニ,kurincheni
megamax,メガマックス,megamakkusu
borcea,ボルチャ,borucha
repedea,レペデア,repedea
mitoc,ミトク,mitoku
marca,マルカ,maruka
cochirleanca,コキルレアンカ,kokirureanka
padeș,パデシュ,padeshu
pănătău,パナタウ,panatau
găgești,ガジェシュチ,gajeshuchi
pop ivan,ピップ・イヴァン,pippu・ivan
grivița,グリヴィツァ,gurivitsa
semlac,セムラク,semuraku
problema basarabeană,ルーマニア・ソビエトレンポウカンケイニオケルベッサラビア,rūmania・sobietorenpoukankeiniokerubessarabia
tichilești,ティキレシュティ,tikireshuti
apold,アポルト,aporuto
halmeu,ハルメウ,harumeu
ciocârlia,チオカリア,chiokaria
fălciu,ファルチウケン,faruchiuken
tuzla,トゥズラ,tuzura
târgșoru vechi,トゥルグショル・ベキ,turugushoru・beki
șimand,シマンド,shimando
groșii țibleșului,グロシイ・ツィブレシュルイ,guroshii・tsibureshurui
vladimir,ヴラジミル,vurajimiru
lăpuș,ラプシュ,rapushu
cristian,シビウ,shibiu
atid,アティッド,atiddo
grup feroviar român,フェロビアル・ロマン・グループ,ferobiaru・roman・gurūpu
stadionul liberty,リバティ・スタジアム,ribati・sutajiamu
brateiu,シビウケン,shibiuken
băla,バラ,bara
bârnova,ブルノバ,burunoba
liga profesionistă de fotbal,リーガ・プロフェショニスタ・デ・フォトバル,rīga・purofeshonisuta・de・fotobaru
hodod,ホドド,hododo
prefect,ケンチジ,kenchiji
ciurea,チュレア,churea
storojineț,ストロイネツケン,sutoroinetsuken
stadionul nicolae dobrin,スタディオヌル・ニコラエ・ドブリン,sutadionuru・nikorae・doburin
comana,コマナ,komana
galița,ガリツァ,garitsa
timișoreana,ティミショアレアナ,timishoareana
golineasa,ゴーライネアサ,gōraineasa
goruna,ゴルーナ,gorūna
colibași,コリバシ,koribashi
costinești,コスティネシュティ,kosutineshuti
dobridor,ドブリドル,doburidoru
chilia,チリア,chiria
dudeștii vechi,ドゥデシュティイ・ヴェキ,dudeshutii・vuェki
obârșiacloșani,クロシャニ,kuroshani
maidan,マイダン,maidan
periprava,ペリプラヴァ,peripurava
șag,シャグ,shagu
canaralele de la hârșova,カナラレレ・デ・ラ・ハルショヴァ,kanararere・de・ra・harushova
șiria,シリア,shiria
plenița,ドルジュケン,dorujuken
cat music,キャット・ミュージック,kyatto・myūjikku
chichiș,キキシュ,kikishu
pișchia,ピシュキア,pishukia
dona,ドナ,dona
bradu,ブラドゥ,buradu
someș,ソメシュケン,someshuken
desa,デサ,desa
roșia montană,ロシア・モンタナ,roshia・montana
filioara,フィリップオアラ,firippuoara
deveselu,デベセル,debeseru
călinești,カリネネュティ,karineneュti
gilău,ジラウ,jirau
heci,ヘチ,hechi
ezeriș,エゼリシュ,ezerishu
grădinari,グレディナリ,guredinari
moisei,モイセイ,moisei
subcarpați,スブカルパツィ,subukarupatsi
scobâlțeni,スコブルツェニ,sukoburutseni
luna,ルナ,runa
nițchidorf,ニツキドルフ,nitsukidorufu
tăul lui dumitru,タウル・ルイ・ドゥミトルコ,tauru・rui・dumitoruko
podari,ポダリ,podari
puiești,プイェシュティ,puyeshuti
siminicea,シミニチャ,shiminicha
sânnicolau român,スンニコラウ・ロムン,sunnikorau・romun
hemeiuș,ヘメイウシュ,hemeiushu
vorona,ヴォロナ,vuォrona
bucharest open,ブカレスト・オープン,bukaresuto・ōpun
radisson blu bucurești,ラディソン・ブル・ブカレスト,radison・buru・bukaresuto
trântă,トレンタ,torenta
cricău,クリカウ,kurikau
jidvei,ジドヴェイ,jidovuェi
blandiana,ブランディアナ,burandiana
mănăstirea săpânțaperi,サプンツァ・ペリモクゾウキョウカイ,sapuntsa・perimokuzoukyoukai
noșlac,アルバケン,arubaken
vințu de jos,ヴィンツ・デ・ジョス,vintsu・de・josu
hopârta,ホプルタ,hopuruta
mehadia,メハディア,mehadia
ciurila,チュリラ,churira
apahida,アパヒダ,apahida
derbiul vestului,デルビウル・ヴェストゥルイ,derubiuru・vuェsuturui
orhideea towers,オルヒデーア・タワーズ,oruhidēa・tawāzu
alexeni,アレクセニ,arekuseni
stadionul clinceni,スタディオヌル・クリンチェニ,sutadionuru・kurincheni
