angela,앙겔라,anggelra
schröter,슈뢰터,syuroeteo
mona,모나,mona
kohlschreiber,콜슈라이버,kolsyuraibeo
heckelmiller,헤켈밀러,hekelmilreo
dustin,더스틴,deoseutin
korte,코르테,koreute
axnick,악스니크,agseunikeu
hegen,헤겐,hegen
kamke,캄케,kamke
bachinger,바힝거,bahinggeo
mieder,미더,mideo
simma,지마,jima
adalbert,아달베르트,adalbereuteu
schlettow,슐레토,syulreto
necla,네질라,nejilra
kelek,켈레크,kelrekeu
schwartz,슈바르츠,syubareuceu
juliette,줄리엣,julries
schoppmann,쇼팽,syopaeng
domin,도민,domin
holm,홈즈,homjeu
strub,슈트루프,syuteurupeu
pfeiffer,파이퍼,paipeo
christof,크리스토프,keuriseutopeu
liedtke,리트케,riteuke
schruff,슈루프,syurupeu
globke,글롭케,geulrobke
immendorff,이멘도르프,imendoreupeu
busse,부세,buse
bussler,부슬러,buseulreo
burghardt,부르크하르트,bureukeuhareuteu
wiener,비너,bineo
rüdenberg,뤼덴베르크,rwidenbereukeu
meyers,마이어스,maieoseu
sterzenbach,스테른바흐,seutereunbaheu
jaeger,예거,yegeo
wilhelmi,빌헬미,bilhelmi
caio,카이오,kaio
kochweser,코흐베저,koheubejeo
bringfried,브링프리트,beuringpeuriteu
brockmann,브로크만,beurokeuman
storch,슈토르히,syutoreuhi
hohmann,호만,homan
berndt,베른트,bereunteu
seite,자이테,jaite
oppermann,오퍼만,opeoman
gerdt,게르트,gereuteu
bassewitz,바세비츠,basebiceu
tiffert,티페르트,tipereuteu
güttler,귀틀러,gwiteulreo
wach,와흐,waheu
stork,슈토르크,syutoreukeu
jolly,욜리,yolri
schuberth,슈베르트,syubereuteu
hellmuth,헬무트,helmuteu
löwenheim,뢰벤하임,roebenhaim
brill,브릴,beuril
malkus,말쿠스,malkuseu
heisenberg,하이젠베르크,haijenbereukeu
steve,스티브,seutibeu
holmes,홈즈,homjeu
klausjürgen,클라우스위르겐,keulrauseuwireugen
wussow,부소,buso
trinks,트링크스,teuringkeuseu
janich,야니히,yanihi
hauler,하울러,haulreo
birgel,비르겔,bireugel
ralph,랄프,ralpeu
siegemund,지게문트,jigemunteu
marschak,마르샤크,mareusyakeu
riegel,리겔,rigel
isabell,이자벨,ijabel
ost,오스트,oseuteu
giessing,기에싱,giesing
kujawa,쿠야바,kuyaba
möbius,뫼비우스,moebiuseu
aleksander,알렉산더,alregsandeo
polaczek,폴라체크,polracekeu
blum,블룸,beulrum
enders,엔더스,endeoseu
lautmann,라우트만,rauteuman
klette,클레테,keulrete
krug,크루그,keurugeu
schweikart,슈바이카르트,syubaikareuteu
ennen,에넨,enen
bartol,바르톨,bareutol
pistor,피스터,piseuteo
ruben,루벤,ruben
róža,로자,roja
domašcyna,도마슈치나,domasyucina
goldschmidt,골트슈미트,golteusyumiteu
freed,프리드,peurideu
hermlin,헤름린,hereumrin
geppert,게페르트,gepereuteu
stratmann,슈트라트만,syuteurateuman
zietlow,지에우로우,jieurou
ignaz,이그나츠,igeunaceu
kögler,쾨글러,koegeulreo
lucca,루카,ruka
staiger,슈타이거,syutaigeo
schöneberger,쇠네베르거,soenebereugeo
haspelmath,하스펠마트,haseupelmateu
rebecka,레베카,rebeka
dirichlet,멘델스존,mendelseujon
hombach,홈바흐,hombaheu
wentzel,벤첼,bencel
melkus,멜쿠스,melkuseu
schaffartzik,샤파르치크,syapareucikeu
sinnig,지니히,jinihi
selina,젤리나,jelrina
tore,토레,tore
kalser,칼저,kaljeo
möllendorff,묄렌도르프,moelrendoreupeu
klotz,클로츠,keulroceu
hochholdinger,호흐홀딩거,hoheuholdinggeo
hofmeister,호프마이스터,hopeumaiseuteo
rechenberg,레헨베르크,rehenbereukeu
singer,징거,jinggeo
dehnkamp,덴캄프,denkampeu
figura,피구라,pigura
hansotto,한스오토,hanseuoto
meiler,마일러,mailreo
pispers,피스퍼스,piseupeoseu
böttcher,뵈트허,boeteuheo
spitzner,슈피츠너,syupiceuneo
nidarümelin,니다뤼멜린,nidarwimelrin
giovanni,조반니,jobanni
mardersteig,마르더슈타이크,mareudeosyutaikeu
klauspeter,클라우스페터,keulrauseupeteo
adolph,아돌프,adolpeu
rumpf,룸프,rumpeu
rowohlt,로볼트,robolteu
blecha,블레하,beulreha
alwin,알빈,albin
heberer,헤버러,hebeoreo
dorfmeister,도르프마이스터,doreupeumaiseuteo
frommer,프로머,peuromeo
thaddeus,타데우스,tadeuseu
masson,마손,mason
bartram,바르트람,bareuteuram
flimm,플림,peulrim
hanssen,한센,hansen
dall,달,dal
ivanka,이반카,ibanka
brekalo,브레칼로,beurekalro
stuckradbarre,슈트루크라트바레,syuteurukeurateubare
schlosser,슐로서,syulroseo
grams,그람스,geuramseu
decimator,데치마토르,decimatoreu
evangelist,에방겔리스트,ebanggelriseuteu
haydn,하이든,haideun
wieczorek,비초레크,bicorekeu
nischwitz,니슈비츠,nisyubiceu
hansjoachim,한스요아힘,hanseuyoahim
heusinger,호이징거,hoijinggeo
schramma,슈라마,syurama
neckermann,네커만,nekeoman
köchly,쾨힐리,koehilri
sotin,조틴,jotin
kamp,캠프,kaempeu
ruwen,루벤,ruben
faller,팔러,palreo
geffert,게페르트,gepereuteu
kubel,쿠벨,kubel
kloeppel,클뢰펠,keulroepel
dahlke,달케,dalke
blunck,블룽크,beulrungkeu
lücker,뤼커,rwikeo
herold,헤롤드,heroldeu
beil,바일,bail
riess,리스,riseu
stock,슈토크,syutokeu
coordes,코르데스,koreudeseu
waltraud,발트라우트,balteurauteu
nowarra,노바라,nobara
bletschacher,블레차허,beulrecaheo
schreyl,슈레일,syureil
garweg,가르베크,gareubekeu
balser,발저,baljeo
joha,요하,yoha
diederichs,디데릭스,diderigseu
schüte,슈트,syuteu
flickenschildt,플리켄실트,peulrikensilteu
dieckmann,디크만,dikeuman
karst,카르스트,kareuseuteu
kuck,쿠크,kukeu
kreutzberg,크로이츠베르크,keuroiceubereukeu
delius,델리우스,delriuseu
teutenberg,토이텐베르크,toitenbereukeu
osterhammel,오스터함멜,oseuteohammel
lautenbacher,라우텐바허,rautenbaheo
walach,발라흐,balraheu
schücke,슈크,syukeu
schottlander,쇼틀랜더,syoteulraendeo
angelina,안젤리나,anjelrina
maccarone,마카로네,makarone
hauff,하우프,haupeu
bausback,바우스바크,bauseubakeu
gerburg,게르부르크,gereubureukeu
jahnke,양케,yangke
ette,에테,ete
just,유스트,yuseuteu
welzer,벨처,belceo
stüwe,슈튀베,syutwibe
diébédo,디에베도,diebedo
francis,프랑시스,peurangsiseu
kéré,케레,kere
rico,리코,riko
rex,렉스,regseu
monica,모니카,monika
lierhaus,리어하우스,rieohauseu
kulke,쿨케,kulke
rothermund,로터문트,roteomunteu
theweleit,테벨라이트,tebelraiteu
pages,페이지,peiji
goslar,고슬러,goseulreo
burger,부르거,bureugeo
nachtigall,나흐티갈,naheutigal
schreinemakers,슈라이네마커스,syurainemakeoseu
münchau,뮌하우,mwinhau
koslowski,코슬로프스키,koseulropeuseuki
alwinbroder,알빈브로더,albinbeurodeo
burkhardt,부르크하르트,bureukeuhareuteu
buchfellner,부흐펠너,buheupelneo
speichert,스파이헤르트,seupaihereuteu
hinze,힌체,hince
zerlettolfenius,체를레트올페니우스,cereulreteuolpeniuseu
kampers,캄퍼스,kampeoseu
curth,쿠르트,kureuteu
biegai,비가이,bigai
holzhausen,홀츠하우젠,holceuhaujen
kempers,켐퍼스,kempeoseu
lorenzer,로렌처,rorenceo
jungnickel,융니켈,yungnikel
czechowski,체호프스키,cehopeuseuki
mittelstraß,미텔슈트라스,mitelsyuteuraseu
moschner,모슈너,mosyuneo
pohmann,포만,poman
woidke,보이트케,boiteuke
molzberger,몰츠베르거,molceubereugeo
karasiak,카라지아크,karajiakeu
sieger,지거,jigeo
eilhard,아일하르트,ailhareuteu
wiedemann,비데만,bideman
hendricks,헨드릭스,hendeurigseu
borsche,보르셰,boreusye
draesner,드레스너,deureseuneo
elstner,엘스트너,elseuteuneo
biederstaedt,비더슈테트,bideosyuteteu
pöttinger,푀팅거,poetinggeo
windeck,빈데크,bindekeu
béla,벨라,belra
réthy,레티,reti
stahlmann,슈탈만,syutalman
tietjen,티톈,tityen
bogdanski,바그단스키,bageudanseuki
marian,마리안,marian
blazinski,블라친스키,beulracinseuki
dreßel,드레셀,deuresel
grundheber,그룬트헤버,geurunteuhebeo
mareike,마라이케,maraike
maiwald,마이발트,maibalteu
böttinger,뵈팅거,boetinggeo
welz,벨츠,belceu
schrepfer,슈뢰퍼,syuroepeo
buggenhagen,부겐하겐,bugenhagen
rebers,레버스,rebeoseu
dannhoff,댄호프,daenhopeu
pollex,폴렉스,polregseu
halgasch,할가슈,halgasyu
kühl,퀼,kwil
klocke,클로케,keulroke
steppin,슈테핀,syutepin
göpel,고펠,gopel
heisig,하이지히,haijihi
jakobi,야코비,yakobi
wiarda,비아르다,biareuda
flassbeck,플라스벡,peulraseubeg
sattmann,자트만,jateuman
driendl,옌치,yenci
jacobson,야콥손,yakobson
kockisch,코키슈,kokisyu
krumeich,크루마이히,keurumaihi
hundt,훈트,hunteu
wilaschek,빌라셰크,bilrasyekeu
jenspeter,옌스페터,yenseupeteo
katzer,카처,kaceo
homola,호몰라,homolra
dennenesch,데네네슈,denenesyu
zoudé,주데,jude
carola,캐롤라,kaerolra
bruss,브루스,beuruseu
degen,데겐,degen
johano,요하노,yohano
bonde,본데,bonde
olschewski,올셰프스키,olsyepeuseuki
stemann,슈테만,syuteman
ankermüller,앙커뮐러,angkeomwilreo
wendler,웬들러,wendeulreo
bertram,베르트람,bereuteuram
rehs,레스,reseu
pigulla,피굴라,pigulra
markwort,마르크보르트,mareukeuboreuteu
aleksandar,알렉산다르,alregsandareu
radenković,라덴코비치,radenkobici
herking,헤르킹,hereuking
hausmeister,하우스마이스터,hauseumaiseuteo
feik,파이크,paikeu
göseken,괴제큰,goejekeun
heidbrink,하이트브링크,haiteubeuringkeu
meyerinck,마이어링크,maieoringkeu
jelpke,옐프케,yelpeuke
bosbach,보스바흐,boseubaheu
kreye,크라이,keurai
steininger,슈타이닝거,syutaininggeo
ania,아니아,ania
niedieck,니디크,nidikeu
thekla,테클라,tekeulra
wied,비트,biteu
geissen,가이센,gaisen
andy,안디,andi
fetscher,페처,peceo
feige,파이게,paige
haefs,헤프스,hepeuseu
füracker,퓌라커,pwirakeo
popow,포포,popo
drache,드라헤,deurahe
schnitzer,슈니처,syuniceo
auth,아우트,auteu
rüpke,뤼프케,rwipeuke
beyerling,베이어링,beieoring
feist,파이스트,paiseuteu
margrit,마거리트,mageoriteu
sartorius,사르토리우스,sareutoriuseu
schloßmann,슐로스만,syulroseuman
fiona,피오나,piona
coors,쿠어스,kueoseu
raed,에드,edeu
saleh,살레,salre
reffert,레페르트,repereuteu
bogdandy,보그단디,bogeudandi
schmidtfoß,슈미트포스,syumiteuposeu
heidrun,하이드,haideu
schleef,룬슐리프,runsyulripeu
pasetti,파제티,pajeti
marietherese,마리테레제,maritereje
rotter,로터,roteo
helfrich,헬프리히,helpeurihi
geringas,게링가스,geringgaseu
kock,콕,kog
hattrup,하트루프,hateurupeu
diedrich,디트리히,diteurihi
diederichsen,디데릭센,diderigsen
burckhard,부르크하르트,bureukeuhareuteu
kahnackermann,칸아커만,kanakeoman
willing,빌링,bilring
knoblauch,노브라우치,nobeurauci
kapfelsperger,카펠슈페르거,kapelsyupereugeo
lietz,리츠,riceu
friesinger,프리징거,peurijinggeo
bogojevič,보고예비치,bogoyebici
lagally,라갈리,ragalri
strecker,슈트레커,syuteurekeo
susanna,수잔나,sujanna
tack,타크,takeu
speck,베이컨,beikeon
esch,에슈,esyu
klimsa,클림자,keulrimja
tadda,타다,tada
gißke,기스케,giseuke
peschl,페슐,pesyul
hirschberg,히르슈베르크,hireusyubereukeu
rudio,루디오,rudio
eisenreich,아이젠라이히,aijenraihi
nicholas,니콜라스,nikolraseu
bussmann,부스만,buseuman
mezger,메츠거,meceugeo
reitzle,레이첼,reicel
grandezka,그란데츠카,geurandeceuka
menge,멩게,mengge
korthcortini,코르트코르티니,koreuteukoreutini
treff,트레프,teurepeu
krazer,크라처,keuraceo
hartelt,하르텔트,hareutelteu
alyn,알린,alrin
camara,카마라,kamara
leibelt,라이벨트,raibelteu
gnilka,그닐카,geunilka
grjasnowa,그랴스노바,geuryaseunoba
spohn,슈폰,syupon
weih,바이,bai
haman,하만,haman
alimardani,알리마르다니,alrimareudani
ilberg,일베르크,ilbereukeu
kemfert,켐페르트,kempereuteu
rapp,라프,rapeu
caninenberg,카니넨버그,kaninenbeogeu
golling,골링,golring
wagenbach,바겐바흐,bagenbaheu
fitschen,피첸,picen
ehret,에렛,eres
ensikat,엔지카트,enjikateu
bodinger,보딩거,bodinggeo
tillmann,틸만,tilman
pritlove,프리트로브,peuriteurobeu
ziffer,치퍼,cipeo
irina,이리나,irina
liebmann,리프만,ripeuman
sebaldt,세발트,sebalteu
lengsfeld,렝스펠트,rengseupelteu
döpfner,되프너,doepeuneo
leipertz,라이페르츠,raipereuceu
harry,하리,hari
berning,베르닝,bereuning
böckel,뵈켈,boekel
hofreiter,호프라이터,hopeuraiteo
röhnert,로네르트,ronereuteu
gölz,괼츠,goelceu
gitta,기타,gita
lind,린트,rinteu
horner,호르너,horeuneo
schirmacher,시르마허,sireumaheo
baumgartner,바움가트너,baumgateuneo
gerold,게롤트,gerolteu
braunmühl,브라운뮐,beuraunmwil
eckner,에크너,ekeuneo
ikaros,이카로스,ikaroseu
bigi,비기,bigi
uhse,우제,uje
kottmann,코트만,koteuman
lerche,레르헤,rereuhe
horlacher,호를라허,horeulraheo
frimmer,프리머,peurimeo
wontorra,본토라,bontora
tanja,타냐,tanya
wedhorn,베트호른,beteuhoreun
langguth,랑구트,rangguteu
weyde,웨이드,weideu
wiebke,비프케,bipeuke
puls,풀스,pulseu
rehm,렘,rem
weinand,바이난트,bainanteu
volkmann,폴크만,polkeuman
diethard,디트하르트,diteuhareuteu
brunkhorst,브룽크호르스트,beurungkeuhoreuseuteu
parys,파리스,pariseu
dasch,다슈,dasyu
maischberger,마이슈베르거,maisyubereugeo
potrykus,포트리쿠스,poteurikuseu
herfried,헤르프리트,hereupeuriteu
münkler,뮝클러,mwingkeulreo
neubauer,노이바워,noibaweo
mick,믹,mig
werup,워럽,weoreob
kamrau,캄라우,kamrau
kronauer,크로나워,keuronaweo
plötz,플뢰츠,peulroeceu
kambartel,캄바르텔,kambareutel
solf,졸프,jolpeu
meckel,메켈,mekel
vanderbeke,판더베케,pandeobeke
jil,질,jil
trieb,촬영,cwalyeong
alexa,알렉사,alregsa
surholt,서홀트,seoholteu
assböck,아스뵈크,aseuboekeu
waldenberger,발덴베르거,baldenbereugeo
berivan,베리반,beriban
kaya,카야,kaya
brammer,브래머,beuraemeo
sellmer,젤머,jelmeo
roy,로이,roi
bächler,바츨러,baceulreo
penkert,펭케르트,pengkereuteu
eyron,아이론,airon
zander,찬더,candeo
linz,린츠,rinceu
böhning,보닝,boning
zechlin,체힐린,cehilrin
hambrecht,함브레히트,hambeurehiteu
hel,헬,hel
boleslaw,보레슬라브,boreseulrabeu
barlog,바로그,barogeu
oscar,오스카어,oseukaeo
jeanette,자네트,janeteu
zwingenberger,츠빙겐베르거,ceubinggenbereugeo
tkotsch,트코치,teukoci
schmerbeck,벡까지,begggaji
price,프라이스,peuraiseu
ercan,에크란,ekeuran
durmaz,두르마즈,dureumajeu
böttger,뵈트거,boeteugeo
lauracharlotte,라우라샤를로테,raurasyareulrote
syniawa,시니아바,siniaba
broili,브로일리,beuroilri
bienert,비네르트,binereuteu
berrit,베리트,beriteu
gundula,군둘라,gundulra
krausser,크라우서,keurauseo
benedek,베네데크,benedekeu
gernot,게르노,gereuno
roll,롤,rol
agnieszka,아그니에슈카,ageuniesyuka
brugger,브루거,beurugeo
teresa,테레자,tereja
weißbach,바이스바흐,baiseubaheu
haxel,학셀,hagsel
gerle,게를레,gereulre
lottner,로트너,roteuneo
sabban,세이반,seiban
georgi,게오르기,georeugi
schischkoff,시슈코프,sisyukopeu
gisbert,기스베르트,giseubereuteu
wüstholz,뷔스트홀츠,bwiseuteuholceu
fromlowitz,프롬로비츠,peuromrobiceu
krumwiede,크룸비데,keurumbide
loewig,뢰비히,roebihi
goppel,고펠,gopel
gräffe,그레페,geurepe
gwendolyn,그벤돌린,geubendolrin
dorn,돈,don
linder,린더,rindeo
heidenreich,하이덴라이히,haidenraihi
sorge,조르게,joreuge
uhlig,울리히,ulrihi
nesrin,네스린,neseurin
şamdereli,삼데렐리,samderelri
gisa,기자,gija
zach,자크,jakeu
kramny,크라미,keurami
kobow,코보프,kobopeu
wieder,비더,bideo
stadlmüller,슈타들뮐러,syutadeulmwilreo
siemen,시멘,simen
rühaak,뤼하악,rwihaag
venske,벤스케,benseuke
kryll,크릴,keuril
pappert,파페르트,papereuteu
grübel,그린벨트,geurinbelteu
joswig,조스위그,joseuwigeu
schöttler,쇠틀러,soeteulreo
heynert,헤너트,heneoteu
kent,켄트,kenteu
jerschke,예르슈케,yereusyuke
strodl,슈트로들,syuteurodeul
sophia,조피아,jopia
kroschwald,크로슈발트,keurosyubalteu
kind,킨트,kinteu
giefer,지퍼,jipeo
kargel,카겔,kagel
düzen,뒤첸,dwicen
tekkal,테칼,tekal
freise,프라이제,peuraije
pflaume,플라우메,peulraume
kummeth,쿠메트,kumeteu
stritzel,슈트리첼,syuteuricel
dickhut,딕훗,dighus
japp,얍,yab
veronika,베로니카,beronika
lechtenbrink,레츠텐브린크,receutenbeurinkeu
uster,우스터,useuteo
feichtner,피치너,picineo
linn,린,rin
reusse,리우스,riuseu
hallhuber,할후버,halhubeo
dubinski,두빈스키,dubinseuki
wilcke,윌케,wilke
gödde,괴데,goede
zeil,차일,cail
fahri,파리,pari
yardım,야르딤,yareudim
seemann,제만,jeman
marischka,마리츠카,mariceuka
mirjana,미랴나,miryana
bogojevic,보고예비치,bogoyebici
linus,리누스,rinuseu
lichtschlag,리히트슐라크,rihiteusyulrakeu
pruss,프러스,peureoseu
lampe,람페,rampe
hanfried,한프리트,hanpeuriteu
baude,바우데,baude
anny,아니,ani
schlemm,슐렘,syulrem
sibylle,지빌레,jibilre
lewitscharoff,레비츠샤로프,rebiceusyaropeu
penzoldt,펜촐트,pencolteu
dietlinde,디틀린데,diteulrinde
turban,투르반,tureuban
wittenburg,비텐부르크,bitenbureukeu
thoms,톰스,tomseu
wunderwald,분더발트,bundeobalteu
will,빌,bil
lahr,라르,rareu
jennipher,예니퍼,yenipeo
ayşe,에이스,eiseu
polat,폴랏,polras
carver,카버,kabeo
sahl,잘,jal
hörisch,회리슈,hoerisyu
schroeter,슈뢰더,syuroedeo
kyber,키버,kibeo
matussek,마투세크,matusekeu
clasing,클라징,keulrajing
siegmann,지크만,jikeuman
sorma,조르마,joreuma
schaufuß,샤우푸스,syaupuseu
adeberg,아데베르크,adebereukeu
diewald,디발트,dibalteu
manske,만스케,manseuke
aigner,아이그너,aigeuneo
irmela,이르멜라,ireumelra
hijiyakirschnereit,히지야키르슈네라이트,hijiyakireusyuneraiteu
vosseler,보셀러,boselreo
herwart,헤르바르트,hereubareuteu
koppenhöfer,코펜회퍼,kopenhoepeo
schütz,쉬츠,swiceu
lorielle,로리엘,roriel
běhounek,베호우네크,behounekeu
elster,엘스터,elseuteo
heusler,호이슬러,hoiseulreo
horstmann,호르스트만,horeuseuteuman
bischoff,비쇼프,bisyopeu
goethe,괴테,goete
ingeborg,잉게보르크,inggeboreukeu
danz,단츠,danceu
landauer,란다워,randaweo
lundi,룬디,rundi
koppel,코펠,kopel
rebling,레블링,rebeulring
dascha,다샤,dasya
corny,코르니,koreuni
collins,콜린스,kolrinseu
mathes,마테스,mateseu
tittel,직함,jigham
kuprella,쿠프렐라,kupeurelra
maius,마이우스,maiuseu
musch,무슈,musyu
plasberg,플라스베르크,peulraseubereukeu
steinhöfer,슈타인회퍼,syutainhoepeo
holt,홀트,holteu
leonhard,레온하르트,reonhareuteu
pohl,폴,pol
rotzsch,로치,roci
dyrlich,디릭,dirig
reisch,라이슈,raisyu
marlies,마를리스,mareulriseu
göhr,괴르,goereu
württemberg,엘리자베트,elrijabeteu
honz,혼츠,honceu
grosskopf,그로스코프,geuroseukopeu
rubina,루비나,rubina
nath,구라오카,guraoka
schwarzschilling,슈바르츠실링,syubareuceusilring
willmer,빌머,bilmeo
wurmb,부름프,bureumpeu
grummtender,엔더,endeo
ades,아데스,adeseu
zabel,자벨,jabel
reiter,레이터,reiteo
lobinger,로빙거,robinggeo
heibach,하이바흐,haibaheu
wunder,분더,bundeo
farmand,파르만트,pareumanteu
rottmann,로트만,roteuman
inayoko,이나요코,inayoko
zirkelbach,치르켈바흐,cireukelbaheu
gordon,고든,godeun
wujak,부야크,buyakeu
wolgemut,볼게무트,bolgemuteu
jüllich,윌리히,wilrihi
guillou,길루,gilru
zassenhaus,차센하우스,casenhauseu
ramona,라모나,ramona
neubert,노이베르트,noibereuteu
anette,아네테,anete
rückes,뤼케스,rwikeseu
fürst,퓌르스트,pwireuseuteu
alfredo,알프레도,alpeuredo
morales,모랄레스,moralreseu
wiedersheim,비더스하임,bideoseuhaim
behle,벨레,belre
toralf,토랄프,toralpeu
konetzke,코네츠케,koneceuke
rauschenbach,라우셴바흐,rausyenbaheu
elvira,엘비라,elbira
possekel,포세켈,posekel
kaufer,카우퍼,kaupeo
waxman,박스만,bagseuman
olfert,올페르트,olpereuteu
bopp,보프,bopeu
marteau,마르토,mareuto
schultemattler,슐테마틀러,syultemateulreo
struppert,슈트루페르트,syuteurupereuteu
reuß,로이스,roiseu
brunhilde,브룬힐데,beurunhilde
hendrix,헨드릭스,hendeurigseu
kielmann,킬만,kilman
hinzmann,힌츠만,hinceuman
peggy,페기,pegi
börner,뵈르너,boereuneo
treiber,트라이버,teuraibeo
heiberg,헤이베르그,heibereugeu
hoegner,회그너,hoegeuneo
haschemian,하셰미안,hasyemian
fleßers,플레서스,peulreseoseu
gundelach,군델라흐,gundelraheu
biallas,비알라스,bialraseu
rademacher,라데마허,rademaheo
behmer,베머,bemeo
conny,코니,koni
bauer,바워,baweo
hankel,항켈,hangkel
kinshofer,킨스호퍼,kinseuhopeo
happe,하페,hape
shirley,셜리,syeolri
bircken,비르켄,bireuken
reske,레스케,reseuke
panagiotis,파나요티스,panayotiseu
volhard,볼하르트,bolhareuteu
massot,마소,maso
zeckwer,체크버,cekeubeo
snirbönisch,뵈니슈,boenisyu
messerschmid,메셔슈미트,mesyeosyumiteu
streidt,슈트라이트,syuteuraiteu
katia,카티아,katia
seebald,제발트,jebalteu
dahlgrün,달그륀,dalgeurwin
neuberger,노이베르거,noibereugeo
altaras,아타라스,ataraseu
merbold,메볼드,meboldeu
özgür,흑해,heughae
karadeniz,무료,muryo
achim,아킴,akim
salger,잘거,jalgeo
osygus,오쥐구스,ojwiguseu
treptow,트렙토프,teurebtopeu
gablonsky,가블론스키,gabeulronseuki
matthus,마투스,matuseu
baluschek,발루셰크,balrusyekeu
władysław,브와디스와프,beuwadiseuwapeu
kozakiewicz,코자키에비치,kojakiebici
juhnke,쥰케,jyunke
adriana,아드리아나,adeuriana
bodzek,보제크,bojekeu
skotnik,멜포르,melporeu
mauersberger,마워스베르거,maweoseubereugeo
loules,힐베르트,hilbereuteu
höller,횔러,hoelreo
schoof,쇼프,syopeu
ofterdingen,오프터딩겐,opeuteodinggen
mosse,모세,mose
dauner,다우너,dauneo
jellinghaus,옐링하우스,yelringhauseu
meggendorfer,메겐도르퍼,megendoreupeo
schlippenbach,슐리펜바흐,syulripenbaheu
mölzl,묄츨,moelceul
kaun,카운,kaun
golz,골츠,golceu
spörl,슈푀를,syupoereul
neubarth,노이바르트,noibareuteu
künneke,퀴네케,kwineke
duschek,두셰크,dusyekeu
tassilo,타실로,tasilro
thierbach,티르바흐,tireubaheu
engelhard,엥겔하르트,enggelhareuteu
scooter,스쿠터,seukuteo
barry,배리,baeri
dobeleit,도벨라이트,dobelraiteu
kraus,크라우스,keurauseu
plum,플룸,peulrum
amelie,아멜리,amelri
plaaslink,플라스링크,peulraseuringkeu
spelly,슈펠리,syupelri
lück,뤼크,rwikeu
schultheiß,슐트하이스,syulteuhaiseu
ponizil,포니칠,ponicil
sanderplump,잔더플룸프,jandeopeulrumpeu
meyerlauber,마이어라우버,maieoraubeo
mehl,멜,mel
westhoff,베스트호프,beseuteuhopeu
asche,아슈,asyu
evelyn,에벨린,ebelrin
klaudt,그로스만,geuroseuman
hess,헤스,heseu
höch,회히,hoehi
tripp,트립,teurib
bockenfeld,보켄펠트,bokenpelteu
pflüger,플뤼거,peulrwigeo
anne,앤,aen
brendler,브렌들러,beurendeulreo
genzmer,겐츠머,genceumeo
spindler,슈핀들러,syupindeulreo
xatar,하타르,hatareu
klüssendorf,클뤼센도르프,keulrwisendoreupeu
alfons,알폰스,alponseu
krügerleißner,크뤼거라이스너,keurwigeoraiseuneo
schockenhoff,쇼켄호프,syokenhopeu
annike,아니케,anike
krahn,크란,keuran
moll,몰,mol
dollinger,돌링거,dolringgeo
waleska,발레스카,balreseuka
carlowitz,카를로비츠,kareulrobiceu
masthoff,마스트호프,maseuteuhopeu
stoch,슈토흐,syutoheu
verena,페레나,perena
faißt,파이스트,paiseuteu
voglsammer,포글자머,pogeuljameo
kaplan,카플란,kapeulran
nicky,니키,niki
klötzer,클뢰처,keulroeceo
christel,크리스텔,keuriseutel
frese,프레제,peureje
kromm,크롬,keurom
amin,아민,amin
farhang,파르항,pareuhang
willers,빌러스,bilreoseu
stamm,슈탐,syutam
kunde,쿤데,kunde
lüdke,루드케,rudeuke
brüderle,브뤼덜레,beurwideolre
benda,벤다,benda
steigauf,슈타이가우프,syutaigaupeu
tivontschik,티본치크,tiboncikeu
rübsam,뤼프잠,rwipeujam
liudolf,리우돌프,riudolpeu
arvid,아비드,abideu
schönlebe,쇤레베,soenrebe
loboué,로부에,robue
gospodarek,고스포다레크,goseupodarekeu
raubal,라우발,raubal
anica,아니카,anika
röhlinger,로힝저,rohingjeo
bialas,비알라스,bialraseu
bieber,비버,bibeo
hartherz,하르테르츠,hareutereuceu
borcherding,보체딩,boceding
nowakowski,노바코프스키,nobakopeuseuki
schlünz,슐륀츠,syulrwinceu
kermer,케르머,kereumeo
anian,아니안,anian
zollner,졸너,jolneo
bovenschulte,보벤슐테,bobensyulte
neubauerwoerner,노이바워뵈르너,noibaweoboereuneo
müllerwesternhagen,뮐러베슈테른하겐,mwilreobesyutereunhagen
sirch,지르히,jireuhi
annie,아니,ani
markart,마르카르트,mareukareuteu
catherine,캐서린,kaeseorin
flemming,플레밍,peulreming
noxx,녹스,nogseu
annik,안닉,annig
waleri,발레리,balreri
belenki,벨렌키,belrenki
yeşil,예실,yesil
hertel,허텔,heotel
anno,안노,anno
koehler,쾰러,koelreo
deuschle,도이슐레,doisyulre
blendl,블렌들,beulrendeul
bruhn,브룬,beurun
schilgen,실겐,silgen
fleming,플레밍,peulreming
neusidler,노이지들러,noijideulreo
schobert,쇼베르트,syobereuteu
klimmt,클림트,keulrimteu
gomolka,고몰카,gomolka
diethelm,디텔름,ditelreum
ferner,페르너,pereuneo
glandorf,글란도르프,geulrandoreupeu
wannek,와넥,waneg
reschke,레슈케,resyuke
glück,글뤼크,geulrwikeu
wadephul,웨이드풀,weideupul
gößling,괴슬링,goeseulring
bathe,바테,bate
kowald,코발트,kobalteu
nerz,네르츠,nereuceu
röhner,노너,noneo
schnitzler,슈니츨러,syuniceulreo
stinka,슈팅카,syutingka
malte,말테,malte
fehmer,페머,pemeo
walke,발케,balke
beister,바이스터,baiseuteo
kokot,코코트,kokoteu
anthony,안소니,ansoni
petrifke,페트리프크,peteuripeukeu
